,experiment,model,sampling,epoch,iou,acc,precision,recall
0,experiment1,ae,uneven,01,0.24975055246018477,0.9819445804852853,0.2655593907313302,0.8075201743808552
1,experiment1,ae,uneven,02,0.43117691453681334,0.9915769120737961,0.4643638337868075,0.8578169928578054
2,experiment1,ae,uneven,03,0.5402417591515849,0.9947285744305451,0.6062810552612073,0.8322077033670346
3,experiment1,ae,uneven,04,0.5046772479943952,0.9953630449406543,0.7112156180070867,0.634750950746684
4,experiment1,ae,uneven,05,0.5524249988577979,0.9953502295338601,0.6608196432164674,0.7710526620907151
5,experiment1,ae,uneven,06,0.4783344693657081,0.9929989691580191,0.5178305717164721,0.8624750718857249
6,experiment1,ae,uneven,07,0.49323975823772226,0.993153228684246,0.5234195351170172,0.8953367034597903
7,experiment1,ae,uneven,08,0.5601398737629549,0.9951286567598251,0.630745471735778,0.8334425146090344
8,experiment1,ae,uneven,09,0.48800635907671835,0.9930934234525396,0.5212417212037972,0.8844407986272146
9,experiment1,ae,uneven,10,0.37827844636617075,0.9933938951199189,0.5581115977543842,0.5400154206474354
10,experiment1,sup,uneven,01,0.07634540762232622,0.9112482163068069,0.07643073287816264,0.9855880716074575
11,experiment1,sup,uneven,02,0.10583686020389077,0.940388056558662,0.10645514411945553,0.9479785038493647
12,experiment1,sup,uneven,03,0.482740977123259,0.9941983531555026,0.589331799128791,0.7274487524348391
13,experiment1,sup,uneven,04,0.5128752122165631,0.9940881924364936,0.570132187667359,0.8362512753918931
14,experiment1,sup,uneven,05,0.3532887935320254,0.9883529095504122,0.37583696752043516,0.8548343149986086
15,experiment1,sup,uneven,06,0.3869502486187513,0.9889903573772515,0.3978942661185121,0.9336361422873574
16,experiment1,sup,uneven,07,0.1505418314222627,0.9611228022332464,0.15238395174835853,0.925667841573138
17,experiment1,sup,uneven,08,0.21063350138993084,0.9727132589406879,0.2116250326857633,0.9782400751321769
18,experiment1,sup,uneven,09,0.40589217499356856,0.9947186068919273,0.713832062111324,0.4847735599666079
19,experiment1,sup,uneven,10,0.3411509210285023,0.9901558690032418,0.40468816909611005,0.6848303728782117
20,experiment1,ae,even,01,0.4545111936536985,0.9924116610708934,0.49432323249361143,0.8494747704294592
21,experiment1,ae,even,02,0.5434774678372528,0.995140048232531,0.643699157231225,0.7773136768388832
22,experiment1,ae,even,03,0.5465055858664588,0.9960834908650313,0.798210663047127,0.6341132548001113
23,experiment1,ae,even,04,0.2940559782102511,0.9865907911162046,0.32593070993424506,0.7504260968370281
24,experiment1,ae,even,05,0.6453204019367735,0.9968724150741978,0.8053987205520864,0.7645278731101011
25,experiment1,ae,even,06,0.5532492496119116,0.9961690563588798,0.8073570662789502,0.6373915916890827
26,experiment1,ae,even,07,0.5521541317737425,0.995149476402176,0.6383760778244528,0.8034621092663018
27,experiment1,ae,even,08,0.5743956963538553,0.9961594987406813,0.7663214236728028,0.6963668722752991
28,experiment1,ae,even,09,0.4105846590809063,0.9913320817096529,0.4539579758054313,0.8112246081068547
29,experiment1,ae,even,10,0.5144948941797739,0.9953902507116434,0.7042324487739335,0.6563108709767183
30,experiment1,sup,even,01,0.3187964888779215,0.9916619166239127,0.44856081386062985,0.5242614321491513
31,experiment1,sup,even,02,0.009111407889134053,0.9911637985901327,0.05223156084435938,0.010916195158148595
32,experiment1,sup,even,03,0.07767521760350649,0.9265712789042438,0.07892350702243207,0.8308250626101474
33,experiment1,sup,even,04,0.5168607814500722,0.9949040419447833,0.6371627414393061,0.7324401725257397
34,experiment1,sup,even,05,0.057928947111559895,0.8823488914673123,0.05802588237940692,0.971970364530192
35,experiment1,sup,even,06,0.2585929334473538,0.99410791176614,0.8030383503207803,0.2761049531583341
36,experiment1,sup,even,07,0.5359854976928148,0.9954439934360954,0.6889912014348863,0.7070511779983304
37,experiment1,sup,even,08,0.22244119447031843,0.983196693193552,0.2533449312934568,0.6458352657452926
38,experiment1,sup,even,09,0.5710468704559408,0.995417585931186,0.653142071769285,0.8195987153325295
39,experiment1,sup,even,10,0.5109579031831487,0.995292560203286,0.6926231998541654,0.6607979315462388
40,experiment2,ae,uneven,01,0.5444493208996671,0.9949389067551865,0.6225894705051563,0.8126623226045822
41,experiment2,ae,uneven,02,0.4011211064867761,0.9901369695144342,0.4225983289122472,0.8875481170577868
42,experiment2,ae,uneven,03,0.17960520156614446,0.9691830027145362,0.182998323977884,0.906423917076338
43,experiment2,ae,uneven,04,0.47035901940480807,0.9928711602862194,0.512726383198064,0.8505733466283276
44,experiment2,ae,uneven,05,0.5539495098153728,0.9950565970650561,0.6278144146569089,0.8248162276226695
45,experiment2,ae,uneven,06,0.4547130398029765,0.992763049169307,0.5086891369421076,0.8107985112698265
46,experiment2,ae,uneven,07,0.40996907601862237,0.9906350228239375,0.43566324371250653,0.8742347648641128
47,experiment2,ae,uneven,08,0.2862538513144761,0.9840016042990728,0.2999968729100195,0.8620431778128188
48,experiment2,ae,uneven,09,0.33748119583629843,0.9874862946344006,0.3577222877372768,0.8564111631574065
49,experiment2,ae,uneven,10,0.4040466335016899,0.9915355532609601,0.4591431091594212,0.7710149800575086
50,experiment2,sup,uneven,01,0.051782270312963764,0.9835268085796776,0.08307135087320845,0.12086367220109452
51,experiment2,sup,uneven,02,0.2609509321990131,0.9830194996986006,0.27849586717228,0.805528823856785
52,experiment2,sup,uneven,03,0.06945782759748584,0.9250569250013916,0.07109011366477884,0.7515565578332252
53,experiment2,sup,uneven,04,0.6589166779937474,0.9967516827233214,0.7510166878826297,0.8430891151099156
54,experiment2,sup,uneven,05,0.29945800160784214,0.9854297023157915,0.31803379463666026,0.836787519710602
