model,sampling,epoch,iou,acc,precision,recall
ae,even,01,0.5400318202915232,0.9949897153124263,0.69973722674591,0.7242408519617846
ae,even,02,0.5743827236919066,0.9960362464579638,0.7550384610131397,0.726674821445135
ae,even,03,0.5631669134246489,0.9954753286159406,0.7201466019062248,0.7463619446248028
ae,even,04,0.48265158178123535,0.9931206572707154,0.6467804256961794,0.7275044058992672
ae,even,05,0.5493654471173492,0.9957049746647606,0.7411742953006195,0.6931783925424357
ae,even,06,0.5209100745288929,0.9958190727772716,0.7715655523792133,0.6309560801409888
ae,even,07,0.5279490281419086,0.9950946139477365,0.6949037592729017,0.7221254405899267
ae,even,08,0.5515770924772041,0.9957769264857349,0.7338239507065474,0.6953575735089509
ae,even,09,0.48191115142290386,0.994042184263112,0.6144249286349781,0.7153084709210648
ae,even,10,0.5493044787605358,0.9953268187629638,0.7148981907980844,0.730506794360449
ae,uneven,01,0.4508367582241667,0.9886118713816433,0.5011465611528438,0.8473526922363416
ae,uneven,02,0.49832320489043963,0.9922785146037387,0.5541543831937169,0.8583054099805212
ae,uneven,03,0.5296347430347066,0.9923543951883108,0.5952036890627304,0.8489037426954829
ae,uneven,04,0.4869262328355015,0.9918580311824305,0.5523139631152405,0.8539061775345516
ae,uneven,05,0.4983988544887691,0.9930383776126493,0.5546983538372858,0.8535377631945089
ae,uneven,06,0.530069497489214,0.9943213767457756,0.5904158961313645,0.8372785455894629
ae,uneven,07,0.5080912634295963,0.9930142181976187,0.562059456389277,0.8640843845654393
ae,uneven,08,0.4939392906923234,0.9922752934922329,0.55381531761917,0.84608425702625
ae,uneven,09,0.493947801860247,0.9930777083981475,0.5416001967219202,0.851093648548372
ae,uneven,10,0.48912709047674224,0.9927288251292437,0.5478736311511162,0.836726069010296
sup,even,01,0.17871961759831267,0.8848212466499794,0.20970050316792826,0.6743854929969391
sup,even,02,0.2385814929384514,0.9882561812763024,0.4067427779791223,0.5264264098877655
sup,even,03,0.3592566802443051,0.9717749424709053,0.40869982821329975,0.7747588349874779
sup,even,04,0.4435497537284867,0.9898021184687271,0.5134223969511827,0.8090407893516371
sup,even,05,0.25897221920723396,0.9249875362617761,0.31985847068979345,0.8406739866431685
sup,even,06,0.26022095297247716,0.9456393334607682,0.4050729667210393,0.572273270104814
sup,even,07,0.45200431701878285,0.9885403791030336,0.6236546245036753,0.6334587468694927
sup,even,08,0.41186167709562405,0.991021914345618,0.6136845224648495,0.6369385377052221
sup,even,09,0.4682074603944703,0.9914873962415907,0.5364395001226792,0.7936931870883963
sup,even,10,0.42002937554244646,0.9918435135271582,0.618485230900663,0.6966790534273258
sup,uneven,01,0.16229334419506547,0.9571789363039762,0.19005566363970475,0.7725005217512291
sup,uneven,02,0.23185979154545694,0.9620346400014153,0.2892835816504916,0.8147768643910582
sup,uneven,03,0.2537496796901797,0.9355379385663054,0.28077063051964585,0.8476176259159633
sup,uneven,04,0.43834223483770096,0.9720088236449003,0.5148983874895413,0.8078648200537983
sup,uneven,05,0.30965299170738764,0.9725483911055036,0.3981097818721849,0.7199387232167702
sup,uneven,06,0.33668207859646443,0.9714990358240241,0.4192185495118889,0.8100245802801224
sup,uneven,07,0.2922072647477526,0.9565354691194002,0.34081460781034717,0.7950906107967721
sup,uneven,08,0.3444272155877926,0.9725404753264584,0.39669913593324385,0.8285441401539746
sup,uneven,09,0.4893189621445185,0.990764009677574,0.6084029741163537,0.7700601753084129
sup,uneven,10,0.34194675123093,0.9899807941496157,0.3979442361007983,0.7002168166218348
