,tp,tn,fp,fn,iou,recall,precision
unet_model_53_0_metrics,0.0,327151016.0,4696.0,0.0,0.0,,0.0
unet_model_19_0_metrics,0.0,327152234.0,3478.0,0.0,0.0,,0.0
unet_model_23_0_metrics,0.0,327149125.0,6587.0,0.0,0.0,,0.0
unet_model_75_0_metrics,0.0,327150086.0,5626.0,0.0,0.0,,0.0
unet_model_92_0_metrics,0.0,327149283.0,6429.0,0.0,0.0,,0.0
unet_model_86_0_metrics,0.0,327148465.0,7247.0,0.0,0.0,,0.0
unet_model_39_0_metrics,0.0,327151333.0,4379.0,0.0,0.0,,0.0
unet_model_47_0_metrics,0.0,327148402.0,7310.0,0.0,0.0,,0.0
unet_model_48_0_metrics,0.0,327149813.0,5899.0,0.0,0.0,,0.0
unet_model_64_0_metrics,0.0,327149410.0,6302.0,0.0,0.0,,0.0
unet_model_51_0_metrics,0.0,327151308.0,4404.0,0.0,0.0,,0.0
unet_model_09_0_metrics,0.0,327148516.0,7196.0,0.0,0.0,,0.0
unet_model_14_0_metrics,0.0,327145653.0,10059.0,0.0,0.0,,0.0
unet_model_67_0_metrics,0.0,327149074.0,6638.0,0.0,0.0,,0.0
unet_model_65_0_metrics,0.0,327148829.0,6883.0,0.0,0.0,,0.0
unet_model_10_0_metrics,0.0,327146473.0,9239.0,0.0,0.0,,0.0
unet_model_05_0_metrics,0.0,327143992.0,11720.0,0.0,0.0,,0.0
unet_model_04_0_metrics,0.0,327148443.0,7269.0,0.0,0.0,,0.0
unet_model_59_0_metrics,0.0,327149670.0,6042.0,0.0,0.0,,0.0
unet_model_21_0_metrics,0.0,327147043.0,8669.0,0.0,0.0,,0.0
unet_model_12_0_metrics,0.0,327146427.0,9285.0,0.0,0.0,,0.0
unet_model_89_0_metrics,0.0,327150664.0,5048.0,0.0,0.0,,0.0
unet_model_82_0_metrics,0.0,327148679.0,7033.0,0.0,0.0,,0.0
unet_model_95_0_metrics,0.0,327148915.0,6797.0,0.0,0.0,,0.0
unet_model_37_0_metrics,0.0,327145688.0,10024.0,0.0,0.0,,0.0
unet_model_56_0_metrics,0.0,327149275.0,6437.0,0.0,0.0,,0.0
unet_model_90_0_metrics,0.0,327148997.0,6715.0,0.0,0.0,,0.0
unet_model_32_0_metrics,0.0,327147712.0,8000.0,0.0,0.0,,0.0
unet_model_70_0_metrics,0.0,327151657.0,4055.0,0.0,0.0,,0.0
