,tp,tn,fp,fn,iou,recall,precision
unet_model_53_0_metrics,1590504.0,325240663.0,164715.0,159830.0,0.8305291405076319,0.9086859993578369,0.9061570094671947
unet_model_19_0_metrics,1596296.0,325249592.0,155786.0,154038.0,0.8374582922376346,0.9119950820814771,0.9110852117652027
unet_model_23_0_metrics,1597731.0,325233991.0,171387.0,152603.0,0.8314063279737277,0.9128149256084839,0.9031229120951796
unet_model_75_0_metrics,1588213.0,325236519.0,168859.0,162121.0,0.8275420971210296,0.907377106312281,0.9038975067612482
unet_model_92_0_metrics,1598401.0,325226727.0,178651.0,151933.0,0.8286228249571665,0.9131977096942641,0.8994677702171912
unet_model_86_0_metrics,1604332.0,325239885.0,165493.0,146002.0,0.8374096408496174,0.9165862058327153,0.9064918847908692
unet_model_39_0_metrics,1594277.0,325245750.0,159628.0,156057.0,0.8347166069272582,0.9108415879483572,0.9089870888103974
unet_model_47_0_metrics,1595703.0,325230901.0,174477.0,154631.0,0.8290180178729236,0.911656289599585,0.9014354472426533
unet_model_48_0_metrics,1586070.0,325243813.0,161565.0,164264.0,0.8295783406968673,0.9061527685573153,0.907552206267327
unet_model_64_0_metrics,1611944.0,325229584.0,175794.0,138390.0,0.8368831147255011,0.9209350901028033,0.9016667990499726
unet_model_51_0_metrics,1588530.0,325244174.0,161204.0,161804.0,0.8310219310314522,0.9075582146036127,0.9078694247239866
unet_model_09_0_metrics,1604638.0,325232239.0,173139.0,145696.0,0.8342399399419695,0.916761029609206,0.9026092698915555
unet_model_14_0_metrics,1605376.0,325220007.0,185371.0,144958.0,0.829349513484751,0.9171826634230953,0.8964839812659187
unet_model_67_0_metrics,1594257.0,325226891.0,178487.0,156077.0,0.8265448167559354,0.910830161557737,0.8993159756851525
unet_model_65_0_metrics,1607925.0,325227719.0,177659.0,142409.0,0.8339890238190699,0.9186389569076531,0.9005037007500067
unet_model_10_0_metrics,1614300.0,325219340.0,186038.0,136034.0,0.8336724554992533,0.9222811189178751,0.8966649595798122
unet_model_05_0_metrics,1626374.0,325218053.0,187325.0,123960.0,0.8393499578615226,0.9291792309353529,0.8967165996121738
unet_model_04_0_metrics,1605736.0,325231093.0,174285.0,144598.0,0.8343137005298191,0.9173883384542607,0.9020882337905002
unet_model_59_0_metrics,1597529.0,325232536.0,172842.0,152805.0,0.8306722837639405,0.9126995190632188,0.9023696163120611
unet_model_21_0_metrics,1600683.0,325243835.0,161543.0,149651.0,0.8372311607912015,0.9145014608640408,0.9083301460766099
unet_model_12_0_metrics,1599376.0,325222039.0,183339.0,150958.0,0.8271181321764332,0.9137547462370039,0.897157425612058
unet_model_89_0_metrics,1610562.0,325239122.0,166256.0,139772.0,0.840326830464523,0.9201455265109402,0.9064304841576346
unet_model_82_0_metrics,1588657.0,325236955.0,168423.0,161677.0,0.8279615396842852,0.9076307721840517,0.9041460832745236
unet_model_95_0_metrics,1603176.0,325230558.0,174820.0,147158.0,0.8327520811322108,0.9159257604548617,0.9016758192931817
unet_model_37_0_metrics,1591509.0,325236059.0,169319.0,158825.0,0.8290607729626136,0.9092601754865072,0.9038412610431001
unet_model_56_0_metrics,1598370.0,325233713.0,171665.0,151964.0,0.8316185388233813,0.9131799987888026,0.9030160420556655
unet_model_90_0_metrics,1601938.0,325238413.0,166965.0,148396.0,0.8355180908142131,0.9152184668754649,0.9056109916711091
unet_model_32_0_metrics,1615922.0,325233641.0,171737.0,134412.0,0.840719203400915,0.9232077991971818,0.9039319020014444
unet_model_70_0_metrics,1592665.0,325255865.0,149513.0,157669.0,0.8383122430385184,0.9099206208643608,0.9141804109568598
unet_model_41_0_metrics,1591793.0,325242363.0,163015.0,158541.0,0.8319407489172127,0.9094224302333155,0.9071037971105671
unet_model_99_0_metrics,1595387.0,325219172.0,186206.0,154947.0,0.8238337447199645,0.9114757526277841,0.8954834241041585
unet_model_79_0_metrics,1592812.0,325238818.0,166560.0,157522.0,0.830933791852862,0.91000460483542,0.9053298563351014
unet_model_20_0_metrics,1595880.0,325249514.0,155864.0,154454.0,0.8372057886956129,0.9117574131565747,0.9110235285521172
unet_model_61_0_metrics,1600561.0,325220544.0,184834.0,149773.0,0.8270914979991402,0.9144317598812569,0.8964744496315942
unet_model_31_0_metrics,1597951.0,325245797.0,159581.0,152383.0,0.83666079380496,0.9129406159053072,0.9092016532273666
unet_model_63_0_metrics,1609507.0,325223513.0,181865.0,140827.0,0.8329923574124611,0.9195427844057191,0.8984772565385637
unet_model_03_0_metrics,1602762.0,325231707.0,173671.0,147572.0,0.8330342176865445,0.9156892341690215,0.9022361102276303
unet_model_55_0_metrics,1604357.0,325233000.0,172378.0,145977.0,0.8344239802945007,0.9166004888209908,0.9029804669801631
unet_model_33_0_metrics,1593412.0,325235605.0,169773.0,156922.0,0.8298558361591307,0.9103473965540291,0.9037123160643948
unet_model_71_0_metrics,1586440.0,325245620.0,159758.0,163894.0,0.8305568527589247,0.906364156783791,0.9085109477848445
unet_model_36_0_metrics,1589907.0,325236130.0,169248.0,160427.0,0.8282568809251181,0.9083449215978208,0.9037901719859819
unet_model_17_0_metrics,1590854.0,325245891.0,159487.0,159480.0,0.8329859185756152,0.9088859611936921,0.908882326358121
unet_model_66_0_metrics,1594798.0,325232691.0,172687.0,155536.0,0.8293190765987475,0.9111392454240163,0.9022978978605193
unet_model_91_0_metrics,1593483.0,325234128.0,171250.0,156851.0,0.8292549271850723,0.9103879602407312,0.9029598245173632
unet_model_57_0_metrics,1595681.0,325236132.0,169246.0,154653.0,0.8312656935371279,0.9116437205699026,0.9041059488579415
unet_model_43_0_metrics,1597527.0,325241772.0,163606.0,152807.0,0.8346797705257218,0.9126983764241567,0.9071018486394837
unet_model_08_0_metrics,1603919.0,325226143.0,179235.0,146415.0,0.8312317413888801,0.9163502508664061,0.8994842845878707
unet_model_78_0_metrics,1589789.0,325235455.0,169923.0,160545.0,0.8279042857284207,0.9082775058931609,0.9034370396974051
unet_model_80_0_metrics,1595415.0,325236226.0,169152.0,154919.0,0.8311678230526297,0.9114917495746526,0.9041396557909107
unet_model_25_0_metrics,1596686.0,325238417.0,166961.0,153648.0,0.8327805580257602,0.912217896698573,0.9053319626886787
unet_model_24_0_metrics,1593555.0,325238183.0,167195.0,156779.0,0.8310461015191948,0.9104290952469642,0.9050433054096266
unet_model_18_0_metrics,1596112.0,325250112.0,155266.0,154222.0,0.8375902602854743,0.9118899592877702,0.9113463798220601
unet_model_52_0_metrics,1587228.0,325234084.0,171294.0,163106.0,0.8259808870395311,0.9068143565742309,0.9025920631075415
unet_model_07_0_metrics,1600143.0,325231935.0,173443.0,150191.0,0.831771561880613,0.9141929483172926,0.9022077305526769
unet_model_11_0_metrics,1602102.0,325243802.0,161576.0,148232.0,0.8379588997390045,0.9153121632785514,0.908386905092653
unet_model_34_0_metrics,1602681.0,325229899.0,175479.0,147653.0,0.8322100847797788,0.9156429572870092,0.901314279929815
unet_model_29_0_metrics,1607312.0,325223010.0,182368.0,143022.0,0.831639849288716,0.9182887380351408,0.8981002190335703
unet_model_58_0_metrics,1598057.0,325235055.0,170323.0,152277.0,0.8320366416283594,0.9130011757755948,0.9036841629061627
unet_model_45_0_metrics,1590376.0,325232428.0,172950.0,159958.0,0.8269064787103725,0.9086128704578669,0.9019183066545834
unet_model_69_0_metrics,1618255.0,325231867.0,173511.0,132079.0,0.8411566420371703,0.9245406876630403,0.9031620200405633
unet_model_62_0_metrics,1604740.0,325228775.0,176603.0,145594.0,0.8327931842089284,0.9168193042013696,0.9008596323111271
unet_model_22_0_metrics,1592379.0,325236736.0,168642.0,157955.0,0.8298066260338848,0.9097572234784904,0.9042362356837312
unet_model_28_0_metrics,1595553.0,325227904.0,177474.0,154781.0,0.827651405119182,0.9115705916699327,0.8999033855660404
unet_model_15_0_metrics,1604213.0,325256024.0,149354.0,146121.0,0.8444613010136401,0.9165182188085246,0.9148284610739139
unet_model_16_0_metrics,1603757.0,325248320.0,157058.0,146577.0,0.840811432573902,0.9162576971023816,0.9108038039203437
unet_model_100_0_metrics,1594252.0,325229334.0,176044.0,156082.0,0.827590431369129,0.9108273049600819,0.9005567430531392
unet_model_72_0_metrics,1585173.0,325250634.0,154744.0,165161.0,0.8320777416987651,0.9056402949379947,0.911062424242076
unet_model_85_0_metrics,1602629.0,325239393.0,165985.0,147705.0,0.8363059594983925,0.9156132486713965,0.9061496742647067
unet_model_77_0_metrics,1586887.0,325230755.0,174623.0,163447.0,0.8243752977339234,0.9066195366141547,0.9008674375961533
unet_model_68_0_metrics,1598762.0,325227962.0,177416.0,151572.0,0.8293409415121256,0.9134039560449606,0.9001136147390633
unet_model_97_0_metrics,1595941.0,325231350.0,174028.0,154393.0,0.8293351250960058,0.9117922636479666,0.9016773740105053
unet_model_42_0_metrics,1594183.0,325240925.0,164453.0,156151.0,0.832564144210296,0.9107878839124418,0.9064883239055723
unet_model_81_0_metrics,1590387.0,325243998.0,161380.0,159947.0,0.8319168034549101,0.9086191549727081,0.9078758761867303
unet_model_30_0_metrics,1601582.0,325233653.0,171725.0,148752.0,0.8332637031433479,0.9150150771224235,0.9031611559645341
unet_model_94_0_metrics,1611924.0,325226502.0,178876.0,138410.0,0.8355357892608891,0.9209236637121829,0.900113915568461
unet_model_76_0_metrics,1594361.0,325238093.0,167285.0,155973.0,0.8314274107630348,0.9108895787889626,0.9050405132472699
unet_model_46_0_metrics,1599552.0,325229429.0,175949.0,150782.0,0.8303826592458118,0.9138552984744626,0.9009017736402288
unet_model_83_0_metrics,1590701.0,325237673.0,167705.0,159633.0,0.8293371511215362,0.9087985493054469,0.9046266903092914
unet_model_13_0_metrics,1603801.0,325223097.0,182281.0,146533.0,0.8298605775076774,0.9162828351617462,0.8979436554424712
unet_model_40_0_metrics,1589474.0,325241524.0,163854.0,160860.0,0.8303646245823294,0.9080975402408912,0.9065468640208791
unet_model_35_0_metrics,1588679.0,325232062.0,173316.0,161655.0,0.8258669716424506,0.907643341213734,0.9016364972658832
unet_model_93_0_metrics,1593145.0,325235569.0,169809.0,157189.0,0.8297012253774849,0.9101948542392481,0.9036792792097809
unet_model_49_0_metrics,1583715.0,325232346.0,173032.0,166619.0,0.8234080253056361,0.9048073110617745,0.9015043145085775
unet_model_84_0_metrics,1594028.0,325241575.0,163803.0,156306.0,0.8327658887529994,0.9106993293851345,0.9068152740508046
unet_model_88_0_metrics,1583782.0,325252729.0,152649.0,166552.0,0.8322628210551539,0.9048455894703525,0.9120903738760711
unet_model_73_0_metrics,1593813.0,325236390.0,168988.0,156521.0,0.8304041739739345,0.9105764956859662,0.9041366552435584
unet_model_06_0_metrics,1607914.0,325208485.0,196893.0,142420.0,0.8257455345473332,0.9186326723928119,0.8909063406779784
unet_model_27_0_metrics,1586560.0,325248397.0,156981.0,163774.0,0.8318290371543243,0.9064327151275128,0.9099642623832763
unet_model_38_0_metrics,1598231.0,325238723.0,166655.0,152103.0,0.8337194423129188,0.9131005853739915,0.9055718046378066
unet_model_50_0_metrics,1589133.0,325232698.0,172680.0,161201.0,0.8263761990292322,0.907902720280815,0.901987327826506
unet_model_96_0_metrics,1613188.0,325228570.0,176808.0,137146.0,0.837088289290566,0.9216458115993862,0.9012243602779001
unet_model_44_0_metrics,1583176.0,325246070.0,159308.0,167158.0,0.8290433494864482,0.9044993698345573,0.908574196377126
unet_model_98_0_metrics,1590878.0,325234715.0,170663.0,159456.0,0.8281522563543826,0.9088996728624366,0.9031172138485565
unet_model_02_0_metrics,1599189.0,325229239.0,176139.0,151145.0,0.8301123348211992,0.9136479094847041,0.9007850943600281
unet_model_87_0_metrics,1601100.0,325225970.0,179408.0,149234.0,0.8296964050116544,0.9147397011084741,0.8992377456321454
unet_model_01_0_metrics,1599854.0,325229744.0,175634.0,150480.0,0.830675276017047,0.9140278369728292,0.9010784640617114
unet_model_26_0_metrics,1595564.0,325241237.0,164141.0,154770.0,0.8334211729064104,0.9115768761847739,0.906722433589721
unet_model_54_0_metrics,1589607.0,325239173.0,166205.0,160727.0,0.8294154201923363,0.9081735257385162,0.9053400933585145
unet_model_74_0_metrics,1595201.0,325243836.0,161542.0,155133.0,0.8343642579330459,0.9113694871950153,0.9080446029954297
unet_model_60_0_metrics,1605125.0,325229407.0,175971.0,145209.0,0.8332662792236951,0.9170392622208104,0.9012007213535935
