,tp,tn,fp,fn,iou,recall,precision
unet_model_54_-0_metrics,410662.0,326671750.0,50005.0,23295.0,0.8485418276641554,0.9463195662243034,0.8914508744928549
unet_model_71_-0_metrics,409242.0,326674607.0,47148.0,24715.0,0.8506292805104915,0.9430473526178861,0.8966936173009926
unet_model_74_-0_metrics,408251.0,326675655.0,46100.0,25706.0,0.8504219290625905,0.9407637162207315,0.8985365939548939
unet_model_83_-0_metrics,410499.0,326673157.0,48598.0,23458.0,0.8506781610386381,0.945943952972299,0.8941443747181969
unet_model_22_-0_metrics,410758.0,326674032.0,47723.0,23199.0,0.8527611692409899,0.9465407862991033,0.8959106266126623
unet_model_24_-0_metrics,412415.0,326670057.0,51698.0,21542.0,0.8491933574245092,0.9503591369651831,0.8886090240954251
unet_model_03_-0_metrics,411630.0,326671320.0,50435.0,22327.0,0.8497869494128723,0.948550201978537,0.8908486901193555
unet_model_17_-0_metrics,409362.0,326670702.0,51053.0,24595.0,0.8440279581864292,0.9433238777113861,0.8891152547158542
unet_model_66_-0_metrics,408366.0,326679008.0,42747.0,25591.0,0.8566447942538766,0.9410287194353357,0.9052410371680709
unet_model_35_-0_metrics,410954.0,326672867.0,48888.0,23003.0,0.8511095693234889,0.9469924439518201,0.893685222315491
unet_model_08_-0_metrics,411419.0,326672124.0,49631.0,22538.0,0.8507634598046271,0.9480639786891328,0.8923522394534216
unet_model_33_-0_metrics,410153.0,326675388.0,46367.0,23804.0,0.8539090280727176,0.9451466389527073,0.8984338035573469
unet_model_15_-0_metrics,410536.0,326673237.0,48518.0,23421.0,0.8508959013420384,0.9460292148761282,0.8943087305632889
unet_model_42_-0_metrics,410095.0,326676585.0,45170.0,23862.0,0.855921290179848,0.9450129851575156,0.9007830604153625
unet_model_50_-0_metrics,410478.0,326673398.0,48357.0,23479.0,0.8510596831110023,0.9458955610809366,0.8946091732322077
unet_model_43_-0_metrics,410072.0,326674294.0,47461.0,23885.0,0.8518003065942694,0.9449599845145947,0.8962675916272707
unet_model_52_-0_metrics,409898.0,326673864.0,47891.0,24059.0,0.850679052315253,0.9445590231290197,0.8953863024231687
unet_model_26_-0_metrics,412925.0,326670704.0,51051.0,21032.0,0.8513777092336621,0.9515343686125584,0.889970601927686
unet_model_20_-0_metrics,411172.0,326666618.0,55137.0,22785.0,0.8406809324996831,0.9474947978716786,0.8817586621746525
unet_model_16_-0_metrics,410922.0,326672030.0,49725.0,23035.0,0.849570585632709,0.9469187039268868,0.892054002305453
unet_model_61_-0_metrics,410639.0,326672311.0,49444.0,23318.0,0.8494790039739264,0.9462665655813824,0.8925324343651037
unet_model_29_-0_metrics,410794.0,326672644.0,49111.0,23163.0,0.8503854529797047,0.9466237438271534,0.8932149030778096
unet_model_10_-0_metrics,410947.0,326673559.0,48196.0,23010.0,0.8523165883028831,0.9469763133213659,0.8950305242593266
unet_model_07_-0_metrics,409914.0,326673497.0,48258.0,24043.0,0.850064805118049,0.9445958931414864,0.8946727429873498
unet_model_51_-0_metrics,412432.0,326671055.0,50700.0,21525.0,0.8509770827616232,0.950398311353429,0.8905279704274376
unet_model_81_-0_metrics,410761.0,326674360.0,47395.0,23196.0,0.8533484851003008,0.9465476994264409,0.8965527025729227
unet_model_34_-0_metrics,409365.0,326676950.0,44805.0,24592.0,0.8550490640443477,0.9433307908387236,0.9013475130457758
unet_model_82_-0_metrics,409862.0,326673227.0,48528.0,24095.0,0.849481331025835,0.9444760656009696,0.8941338161827265
unet_model_84_-0_metrics,410947.0,326673333.0,48422.0,23010.0,0.8519172683719648,0.9469763133213659,0.8945901878446304
unet_model_73_-0_metrics,409113.0,326675015.0,46740.0,24844.0,0.851082906695902,0.9427500881423736,0.8974669465814638
unet_model_58_-0_metrics,410245.0,326675612.0,46143.0,23712.0,0.8544990626952719,0.9453586415243906,0.8988952382621804
unet_model_69_-0_metrics,409701.0,326677851.0,43904.0,24256.0,0.8573643800184573,0.9441050611005238,0.9032109434419815
unet_model_80_-0_metrics,411416.0,326673308.0,48447.0,22541.0,0.8528453329574381,0.9480570655617953,0.8946490585239517
unet_model_57_-0_metrics,409178.0,326675587.0,46168.0,24779.0,0.8522322311897943,0.9428998725680194,0.8986089698822434
unet_model_40_-0_metrics,412415.0,326670503.0,51252.0,21542.0,0.849973928760596,0.9503591369651831,0.8894637746486164
unet_model_87_-0_metrics,409424.0,326674057.0,47698.0,24533.0,0.8500358140162565,0.9434667490096945,0.8956558642988086
unet_model_04_-0_metrics,411537.0,326672226.0,49529.0,22420.0,0.8511870043806853,0.9483358950310745,0.8925772015286315
unet_model_41_-0_metrics,412152.0,326672327.0,49428.0,21805.0,0.8526371318927977,0.9497530861352622,0.8929156375926167
unet_model_30_-0_metrics,410682.0,326674032.0,47723.0,23275.0,0.8526033881415047,0.9463656537398867,0.8958933694004211
unet_model_37_-0_metrics,410564.0,326672815.0,48940.0,23393.0,0.8502102932923584,0.946093737397945,0.8934938542428358
unet_model_27_-0_metrics,411463.0,326672171.0,49584.0,22494.0,0.8509371490731913,0.9481653712234162,0.8924534808815587
unet_model_11_-0_metrics,411522.0,326671326.0,50429.0,22435.0,0.8495745128884815,0.948301329394387,0.8908347422129187
unet_model_38_-0_metrics,411575.0,326671743.0,50012.0,22382.0,0.850416039043823,0.9484234613106829,0.8916520612582244
unet_model_55_-0_metrics,409953.0,326673939.0,47816.0,24004.0,0.850925643404674,0.9446857637968739,0.8955455699271904
unet_model_78_-0_metrics,410383.0,326673413.0,48342.0,23574.0,0.8508891787044965,0.9456766453819158,0.8946166003596926
unet_model_76_-0_metrics,411324.0,326673690.0,48065.0,22633.0,0.8533303459178212,0.947845062990112,0.8953718961490154
unet_model_72_-0_metrics,409576.0,326675690.0,46065.0,24381.0,0.8532442263062943,0.9438170141281279,0.8989006696061154
unet_model_64_-0_metrics,409131.0,326678350.0,43405.0,24826.0,0.8570665448862708,0.9427915669063985,0.9040849788746089
unet_model_53_-0_metrics,411231.0,326673489.0,48266.0,22726.0,0.8527818042689793,0.9476307560426493,0.8949590530514889
