,tp,tn,fp,fn,iou,recall,precision
unet_model_19_0_metrics,303473.0,326693227.0,28528.0,130484.0,0.6561791193227888,0.6993158308311653,0.9140725479742531
unet_model_23_0_metrics,308305.0,326692750.0,29005.0,125652.0,0.6659401851555852,0.7104505745961005,0.9140108505529039
unet_model_39_0_metrics,317544.0,326687705.0,34050.0,116413.0,0.6785026719685817,0.731740702419825,0.9031553439478489
unet_model_47_0_metrics,307486.0,326691693.0,30062.0,126471.0,0.6626582101163961,0.7085632908329628,0.9109400737080356
unet_model_48_0_metrics,309649.0,326690502.0,31253.0,124308.0,0.6656112293372886,0.713547655643301,0.9083226264439633
unet_model_09_0_metrics,304908.0,326692619.0,29136.0,129049.0,0.6584163440172924,0.7026226100742701,0.9127779573948342
unet_model_14_0_metrics,311491.0,326692724.0,29031.0,122466.0,0.672784175831771,0.7177923158285268,0.9147455964666013
unet_model_10_0_metrics,298472.0,326692919.0,28836.0,135485.0,0.6449362890104215,0.6877916475595508,0.9118994952766202
unet_model_05_0_metrics,289326.0,326692334.0,29421.0,144631.0,0.6243844118624535,0.6667158266832889,0.9076979548042805
unet_model_04_0_metrics,319366.0,326688065.0,33690.0,114591.0,0.6829210921913323,0.7359392750894674,0.9045760445934923
unet_model_21_0_metrics,336583.0,326675495.0,46260.0,97374.0,0.7008977191561315,0.7756137128793866,0.8791671781905377
unet_model_12_0_metrics,295267.0,326694216.0,27539.0,138690.0,0.6398040286373013,0.6804061231873204,0.9146886984752451
unet_model_37_0_metrics,301127.0,326691371.0,30384.0,132830.0,0.648504008907247,0.6939097652532393,0.9083469326809669
unet_model_32_0_metrics,321156.0,326691002.0,30753.0,112801.0,0.6910890662994126,0.7400641077341764,0.9126109306667348
unet_model_41_0_metrics,308653.0,326689996.0,31759.0,125304.0,0.6627494009224506,0.7112524973672507,0.9067042289931024
unet_model_20_0_metrics,311201.0,326690750.0,31005.0,122756.0,0.6693041581892714,0.7171240468525684,0.9093966791932345
unet_model_31_0_metrics,317289.0,326692310.0,29445.0,116668.0,0.6846949301038839,0.7311530865961374,0.9150789942722664
unet_model_03_0_metrics,343380.0,326649519.0,72236.0,90577.0,0.678357859551594,0.7912765550503852,0.8261953341546042
unet_model_33_0_metrics,315282.0,326689049.0,32706.0,118675.0,0.675609594075382,0.7265282044073491,0.9060140004827753
unet_model_36_0_metrics,307664.0,326691210.0,30545.0,126293.0,0.6623523687734391,0.7089734697216544,0.9096860225481876
unet_model_17_0_metrics,313270.0,326689456.0,32299.0,120687.0,0.6718841151642017,0.7218918003396649,0.9065338615442936
unet_model_43_0_metrics,312512.0,326690930.0,30825.0,121445.0,0.672384042411281,0.7201450834990564,0.9102194054238256
unet_model_08_0_metrics,306843.0,326691043.0,30712.0,127114.0,0.6603474731475524,0.7070815772069583,0.9090163084534372
unet_model_25_0_metrics,307728.0,326686981.0,34774.0,126229.0,0.6565130106606988,0.7091209497715212,0.8984706658647249
unet_model_24_0_metrics,320874.0,326690741.0,31014.0,113083.0,0.6900946510642599,0.7394142737644513,0.9118640021825126
unet_model_18_0_metrics,320050.0,326687823.0,33932.0,113907.0,0.6840297591950227,0.7375154681224176,0.9041420185207157
unet_model_07_0_metrics,306389.0,326688611.0,33144.0,127568.0,0.655937366864982,0.7060353906032164,0.9023835680184253
unet_model_11_0_metrics,326998.0,326684426.0,37329.0,106959.0,0.6938419558399783,0.7535262710360704,0.8975398474447406
unet_model_34_0_metrics,308649.0,326689070.0,32685.0,125308.0,0.661425675357126,0.711243279864134,0.9042433510872049
unet_model_29_0_metrics,311742.0,326689974.0,31781.0,122215.0,0.6693505790809425,0.7183707141490977,0.9074850883346967
unet_model_45_0_metrics,306853.0,326689940.0,31815.0,127104.0,0.6588051664763017,0.70710462096475,0.9060584407148004
unet_model_22_0_metrics,317654.0,326692852.0,28903.0,116303.0,0.6862852698440133,0.7319941837555334,0.9165995781357756
unet_model_28_0_metrics,314852.0,326691505.0,30250.0,119105.0,0.6782577600079275,0.7255373228223073,0.9123447560431409
unet_model_15_0_metrics,307707.0,326692558.0,29197.0,126250.0,0.664372973136365,0.7090725578801587,0.9133373305155178
unet_model_16_0_metrics,300699.0,326691402.0,30353.0,133258.0,0.6476255088195386,0.6929234924197559,0.9083134975774199
unet_model_42_0_metrics,314366.0,326688706.0,33049.0,119591.0,0.6731519509385319,0.7244173961936321,0.9048716952348056
