,tp,tn,fp,fn,iou,recall,precision
unet_model_19_0_metrics,1665836.0,325210400.0,194978.0,84498.0,0.8563335855636525,0.9517246422682757,0.895218974061889
unet_model_23_0_metrics,1638678.0,325204755.0,200623.0,111656.0,0.8399354778193471,0.9362087464449642,0.8909243239687251
unet_model_09_0_metrics,1595054.0,325251861.0,153517.0,155280.0,0.8378040088221189,0.9112855032239561,0.9122043085468077
unet_model_14_0_metrics,1613604.0,325207093.0,198285.0,136730.0,0.8280756782110817,0.9218834805242885,0.8905644882219607
unet_model_10_0_metrics,1671856.0,325225112.0,180266.0,78478.0,0.8659774163472496,0.9551639858449873,0.9026705584189378
unet_model_05_0_metrics,1701894.0,325202233.0,203145.0,48440.0,0.8712118225995775,0.9723252819176226,0.8933643878156825
unet_model_04_0_metrics,1651154.0,325199706.0,205672.0,99180.0,0.8441456723547883,0.9433365289139102,0.8892346401870719
unet_model_21_0_metrics,1596775.0,325220882.0,184496.0,153559.0,0.8252792234976716,0.9122687441368333,0.8964245193460175
unet_model_12_0_metrics,1625987.0,325240569.0,164809.0,124347.0,0.8490159742640628,0.92895813027685,0.907968858541118
unet_model_32_0_metrics,1615847.0,325227461.0,177917.0,134487.0,0.8379858223851563,0.9231649502323557,0.9008135964374354
unet_model_20_0_metrics,1631667.0,325210077.0,195301.0,118667.0,0.8386295476798064,0.9322032252130165,0.8931010285894444
unet_model_31_0_metrics,1593894.0,325237415.0,167963.0,156440.0,0.830890107214889,0.9106227725679784,0.9046670643531228
unet_model_03_0_metrics,1680275.0,325266672.0,138706.0,70059.0,0.8894861940456528,0.9599739249766045,0.9237452177895206
unet_model_17_0_metrics,1633097.0,325187608.0,217770.0,117237.0,0.8297818611211603,0.9330202121423683,0.8823416269240307
unet_model_08_0_metrics,1654424.0,325226653.0,178725.0,95910.0,0.8576326592395567,0.9452047437803299,0.9025038335672659
unet_model_25_0_metrics,1646985.0,325211225.0,194153.0,103349.0,0.8470023198920846,0.9409546977891077,0.8945472854289032
unet_model_24_0_metrics,1661711.0,325209770.0,195608.0,88623.0,0.8539365510380063,0.9493679492028378,0.8946826043345274
unet_model_18_0_metrics,1685588.0,325211556.0,193822.0,64746.0,0.867002442190853,0.9630093456448884,0.8968708264827792
unet_model_07_0_metrics,1727792.0,324849896.0,555482.0,22542.0,0.7493191130601922,0.9871213151318549,0.756716889869547
unet_model_11_0_metrics,1666732.0,325220710.0,184668.0,83602.0,0.8613593164244792,0.9522365445680653,0.9002549422058982
unet_model_29_0_metrics,1606870.0,325221174.0,184204.0,143464.0,0.830622091682872,0.918036214802432,0.8971544447633096
unet_model_22_0_metrics,1658585.0,325227823.0,177555.0,91749.0,0.8603114598402709,0.9475820043488843,0.9032998573093555
unet_model_28_0_metrics,1612867.0,325219498.0,185880.0,137467.0,0.8330003811562152,0.9214624180299303,0.8966613981844028
unet_model_15_0_metrics,1617493.0,325266989.0,138389.0,132841.0,0.8563950351639705,0.9241053421804067,0.9211854782952386
unet_model_16_0_metrics,1633219.0,325235120.0,170258.0,117115.0,0.8503726975849113,0.9330899131251521,0.9055945820212844
unet_model_30_0_metrics,1590398.0,325234593.0,170785.0,159936.0,0.8278498104490144,0.9086254394875493,0.9030282486260656
unet_model_13_0_metrics,1580973.0,325249605.0,155773.0,169361.0,0.829425105725964,0.9032407529077308,0.9103075521694018
unet_model_06_0_metrics,1700630.0,325202119.0,203259.0,49704.0,0.870513970924343,0.9716031340304193,0.8932400996066472
unet_model_27_0_metrics,1598035.0,325212828.0,192550.0,152299.0,0.8225066447610871,0.9129886067459125,0.8924653116160361
unet_model_02_0_metrics,1707166.0,325169765.0,235613.0,43168.0,0.8596231420073144,0.9753372784851349,0.8787237251380625
unet_model_01_0_metrics,1683087.0,325173877.0,231501.0,67247.0,0.8492568755723862,0.9615804754978192,0.8790857354167059
unet_model_26_0_metrics,1611118.0,325207886.0,197492.0,139216.0,0.8271365101400228,0.9204631801701847,0.8908045405034806
