,tp,tn,fp,fn,iou,recall,precision
unet_model_19_0_metrics,398778.0,326681529.0,40226.0,35179.0,0.840979115657879,0.918934364464682,0.9083698553999507
unet_model_23_0_metrics,406449.0,326646619.0,75136.0,27508.0,0.7983786852303999,0.9366112310666725,0.8439818515942149
unet_model_54_-0_metrics,411086.0,326670384.0,51371.0,22871.0,0.8470271651336828,0.9472966215546702,0.8889172398731126
unet_model_39_0_metrics,408525.0,326668742.0,53013.0,25432.0,0.8389120479701009,0.9413951151842234,0.8851383851383852
unet_model_09_0_metrics,403786.0,326666896.0,54859.0,30171.0,0.8260490654970377,0.9304746783667506,0.8803889718627697
unet_model_14_0_metrics,394705.0,326679619.0,42136.0,39252.0,0.8290502065772863,0.9095486419161345,0.9035438523398673
unet_model_10_0_metrics,395450.0,326677725.0,44030.0,38507.0,0.8273237556669951,0.911265401871614,0.8998134158551014
unet_model_05_0_metrics,392350.0,326670872.0,50883.0,41607.0,0.809236036630641,0.9041218369561961,0.8852003348126155
unet_model_04_0_metrics,385381.0,326673269.0,48486.0,48576.0,0.7988114658104688,0.8880626421511809,0.8882468590604955
unet_model_21_0_metrics,411843.0,326666463.0,55292.0,22114.0,0.8417860843864781,0.9490410340194996,0.8816359296563092
unet_model_12_0_metrics,400079.0,326670751.0,51004.0,33878.0,0.8249714925530094,0.9219323573533783,0.8869298998188804
unet_model_50_-0_metrics,406872.0,326671718.0,50037.0,27085.0,0.8406550494427617,0.9375859820212602,0.8904880402881099
unet_model_43_-0_metrics,407367.0,326671697.0,50058.0,26590.0,0.8416412714481989,0.9387266480319478,0.8905656665027054
unet_model_52_-0_metrics,410891.0,326670656.0,51099.0,23066.0,0.84710012864494,0.9468472682777326,0.8893937098205589
unet_model_37_0_metrics,408744.0,326668980.0,52775.0,25213.0,0.8397721949656074,0.9418997734798609,0.8856493448807091
unet_model_32_0_metrics,413210.0,326661935.0,59820.0,20747.0,0.8368352515406753,0.952191115709621,0.8735386761938989
unet_model_41_0_metrics,407947.0,326669570.0,52185.0,26010.0,0.8391519350313283,0.9400631859838647,0.8865868924569471
unet_model_51_-0_metrics,409557.0,326668589.0,53166.0,24400.0,0.8407671163135388,0.9437732309883238,0.8851018860095565
unet_model_20_0_metrics,404967.0,326671854.0,49901.0,28990.0,0.836954230373374,0.9331961461619469,0.8902956462094498
unet_model_31_0_metrics,403906.0,326669856.0,51899.0,30051.0,0.8313286241190806,0.9307512034602506,0.8861377123989426
unet_model_03_0_metrics,394110.0,326581949.0,139806.0,39847.0,0.6868863973452454,0.9081775383275301,0.7381498213202077
unet_model_33_0_metrics,410989.0,326667439.0,54316.0,22968.0,0.8417196936959447,0.9470730971040909,0.8832679640235974
unet_model_36_0_metrics,408758.0,326667646.0,54109.0,25199.0,0.8375055832612802,0.9419320347407693,0.8831003290362026
unet_model_17_0_metrics,409066.0,326662358.0,59397.0,24891.0,0.8291531030456832,0.9426417824807527,0.8732087699562185
unet_model_58_-0_metrics,408258.0,326665194.0,56561.0,25699.0,0.8322997321199223,0.9407798468511858,0.8783160757197963
unet_model_57_-0_metrics,410306.0,326671934.0,49821.0,23651.0,0.8481286871250863,0.9454992084469198,0.8917233720255495
unet_model_08_0_metrics,347734.0,326691321.0,30434.0,86223.0,0.7487957346287935,0.8013098071928786,0.9195225402466629
unet_model_25_0_metrics,406067.0,326650650.0,71105.0,27890.0,0.8039943610883417,0.9357309595190307,0.8509866463245958
unet_model_55_-0_metrics,409484.0,326670685.0,51070.0,24473.0,0.8442499077370951,0.9436050115564445,0.8891118088215497
unet_model_24_0_metrics,409802.0,326636012.0,85743.0,24155.0,0.7885356936694247,0.9443378030542197,0.8269723234015074
unet_model_18_0_metrics,402307.0,326677025.0,44730.0,31650.0,0.8404385329035465,0.9270665065893625,0.8999411681807099
unet_model_07_0_metrics,392836.0,326624375.0,97380.0,41121.0,0.7393349230337808,0.9052417635848713,0.8013528730192405
unet_model_11_0_metrics,400351.0,326671269.0,50486.0,33606.0,0.826415078760556,0.9225591475653118,0.8880171769397809
unet_model_34_0_metrics,406063.0,326673810.0,47945.0,27894.0,0.8426256790799789,0.9357217420159141,0.8943961339888284
unet_model_29_0_metrics,407677.0,326672122.0,49633.0,26280.0,0.8430219814305506,0.9394410045234897,0.8914674946972513
unet_model_53_-0_metrics,411007.0,326671174.0,50581.0,22950.0,0.8482451324767097,0.947114575868116,0.8904195949634739
unet_model_45_-0_metrics,411048.0,326672078.0,49677.0,22909.0,0.8499154319175244,0.9472090552750618,0.8921764610125346
unet_model_44_-0_metrics,407601.0,326675399.0,46356.0,26356.0,0.848615382052953,0.9392658719642729,0.8978846014049788
unet_model_22_0_metrics,410343.0,326668706.0,53049.0,23614.0,0.8425830482581323,0.945584470350749,0.8855202506732961
unet_model_28_0_metrics,406995.0,326671171.0,50584.0,26962.0,0.839959879556116,0.9378694202420977,0.8894529687769762
unet_model_15_0_metrics,407496.0,326666806.0,54949.0,26461.0,0.8334853734664741,0.9390239125074604,0.8811772210749387
unet_model_16_0_metrics,394649.0,326682800.0,38955.0,39308.0,0.8345083229015123,0.9094195968725012,0.9101599616239703
unet_model_42_0_metrics,406308.0,326670403.0,51352.0,27649.0,0.8372150526777785,0.93628631408181,0.8877944325481799
unet_model_49_-0_metrics,407130.0,326669705.0,52050.0,26827.0,0.8377039836874778,0.9381805109722853,0.8866457598327453
unet_model_30_0_metrics,408639.0,326671553.0,50202.0,25318.0,0.8440181841089395,0.9416578140230484,0.8905895506286491
unet_model_13_0_metrics,395515.0,326679313.0,42442.0,38442.0,0.8302179475607632,0.9114151862972598,0.9030909427181207
unet_model_40_0_metrics,409729.0,326666333.0,55422.0,24228.0,0.8372427096381332,0.9441695836223405,0.8808515944284759
unet_model_35_0_metrics,408247.0,326664234.0,57521.0,25710.0,0.8306516263189807,0.9407544987176149,0.8765028941447244
unet_model_59_-0_metrics,408481.0,326675999.0,45756.0,25476.0,0.8515112160812819,0.9412937226499399,0.8992684435658037
unet_model_06_0_metrics,399978.0,326656199.0,65556.0,33979.0,0.8007359167829466,0.9216996153996825,0.8591810694814986
unet_model_27_0_metrics,405329.0,326674760.0,46995.0,28628.0,0.8427639348625227,0.9340303301940054,0.8961032357336777
unet_model_38_0_metrics,409938.0,326673099.0,48656.0,24019.0,0.8494135052308993,0.9446511981601864,0.8939017954879479
unet_model_02_0_metrics,394870.0,326636942.0,84813.0,39087.0,0.7611658345702335,0.9099288639196971,0.8231894813866658
unet_model_56_-0_metrics,409544.0,326672360.0,49395.0,24413.0,0.8472996904947119,0.9437432741031946,0.8923713173210384
unet_model_48_-0_metrics,409466.0,326672410.0,49345.0,24491.0,0.8472259580965938,0.9435635327924196,0.8924502681932212
unet_model_01_0_metrics,350213.0,326669601.0,52154.0,83744.0,0.7204383361001911,0.8070223547494337,0.8703820144296127
unet_model_26_0_metrics,406844.0,326669242.0,52513.0,27113.0,0.836318786358871,0.9375214594994435,0.8856815069760556
unet_model_47_-0_metrics,410154.0,326674182.0,47573.0,23803.0,0.8517724752351878,0.9451489433284864,0.896066869553249
unet_model_46_-0_metrics,410250.0,326671213.0,50542.0,23707.0,0.8467509736862202,0.9453701634032865,0.8903149360231949
