,experiment,model,sampling,iou,acc,precision,recall
0,m_3807509_ne,ae,even,0.4301643192488263,0.9979590844014835,0.45666878575969483,0.8811176802492456
1,m_3807509_ne,ae,uneven,0.3755770972195419,0.9972935423352615,0.386332286486514,0.930991340185953
2,m_3807509_ne,sup,even,0.366500505740036,0.9970044708915908,0.36770802521104007,0.9911193974928244
3,m_3807509_ne,sup,uneven,0.27642541388575886,0.995523939525173,0.2781594197336608,0.9779456860388097
4,m_3807518_se,ae,even,0.21250814879200333,0.9931547581995698,0.2264764165467077,0.775054937137505
5,m_3807518_se,ae,uneven,0.1872285375049653,0.991962745248712,0.197871622939124,0.7768291364962715
6,m_3807518_se,sup,even,0.19134570943490004,0.9925265763466544,0.20498568090945507,0.7419755754890306
7,m_3807518_se,sup,uneven,0.12016167199893986,0.990024194853571,0.13205191952016676,0.5716434309593285
8,m_3807527_nw,ae,even,0.5346816163321076,0.9980121170937929,0.5840059257633535,0.8635873136931952
9,m_3807527_nw,ae,uneven,0.4639477696883792,0.9973217124627275,0.49643805899493515,0.8763742282009882
10,m_3807527_nw,sup,uneven,0.3821871077657946,0.9966302991897902,0.42595905909593224,0.7880990823603865
11,m_3807527_nw,sup,even,0.5007868129231139,0.9976784497783906,0.5373158715619043,0.880471558040097
12,m_3807536_se,ae,even,0.20354730968786217,0.9929915996790238,0.21894807715573697,0.7431795457791744
13,m_3807536_se,ae,uneven,0.1894712626211461,0.9917373133706658,0.19880415886970867,0.8014301528353093
14,m_3807536_se,sup,even,0.21786767578909055,0.9937121091373887,0.23730651508526454,0.7267533209541495
15,m_3807536_se,sup,uneven,0.12770211253806787,0.9886977178818193,0.1356087617395107,0.6865447793172403
