,name,iou,acc,precision,recall,pos,neg,tp,tn,fp,fn
0,m_3807612_ne_18_1_20170730_inference_,0.0,0.9999394490987414,0.0,,0,47166928,0,47164072,2856,0
1,m_3907625_se_18_1_20170609_inference_,0.0,0.9990421753994811,0.0,,0,47176696,0,47131509,45187,0
2,m_3807656_se_18_1_20170611_inference_,0.0,0.9999254357103721,0.0,,0,47073472,0,47069962,3510,0
3,m_3907717_nw_18_1_20170628_inference_,,1.0,,,0,48139756,0,48139756,0,0
4,m_3807606_ne_18_1_20170611_inference_,0.0,0.9996736702082303,0.0,,0,46909600,0,46894292,15308,0
5,m_3807724_nw_18_1_20170716_inference_,0.0,0.9995933184146325,0.0,,0,47803984,0,47784543,19441,0
6,m_3907655_sw_18_1_20170611_inference_,,1.0,,,0,46735348,0,46735348,0,0
7,m_3807561_se_18_1_20170611_inference_,0.5775317020896589,0.9994917621376329,0.7296028880866426,0.7348088896968595,44006,46497194,32336,46485210,11984,11670
8,m_3807618_ne_18_1_20170626_inference_,,1.0,,,0,47507980,0,47507980,0,0
9,m_3807604_ne_18_1_20170611_inference_,0.0,0.9994353262671586,0.0,,0,47121016,0,47094408,26608,0
10,m_3907541_ne_18_1_20170609_inference_,0.0,0.999906064545437,0.0,,0,46350976,0,46346622,4354,0
11,m_3807545_sw_18_1_20170611_inference_,0.16006884681583478,0.9996640781871786,0.9857568731368003,0.16043991589843118,18549,46468459,2976,46468416,43,15573
12,m_3907557_nw_18_1_20170709_inference_,0.46089523547988465,0.9991569111895491,0.7609321515199601,0.538934557831867,62284,46508136,33567,46497590,10546,28717
13,m_3907717_sw_18_1_20170628_inference_,,1.0,,,0,48139756,0,48139756,0,0
14,m_3807562_sw_18_1_20170611_inference_,,1.0,,,0,46541200,0,46541200,0,0
15,m_3807517_nw_18_1_20170611_inference_,0.5150268570679942,0.9996041139128689,0.8236674488769695,0.5788497217068646,33957,46719391,19656,46715183,4208,14301
16,m_3907642_sw_18_1_20170609_inference_,0.0,0.9994864689627884,0.0,,0,47268808,0,47244534,24274,0
17,m_3907634_se_18_1_20170609_inference_,0.0,0.9970836407621742,0.0,,0,47056960,0,46919725,137235,0
18,m_3907618_se_18_1_20170609_inference_,,1.0,,,0,46955740,0,46955740,0,0
19,m_3807636_ne_18_1_20170730_inference_,0.0,0.9999872775383695,0.0,,0,47396488,0,47395885,603,0
