,name,iou,acc,precision,recall,pos,neg,tp,tn,fp,fn
0,m_3807525_sw_18_1_20170611,0.011425788813916544,0.0117913590943646,0.011464678019585142,0.7710813334793712,693884,46150928,535041,17323,46133605,158843
1,m_3807543_se_18_1_20170611,0.00854440021567885,0.008957204578952287,0.008566234496200194,0.7702322614318439,517305,46134415,398445,19424,46114991,118860
2,m_3907624_ne_18_1_20170709,0.01093876870799428,0.011989703008559933,0.01097077509320022,0.7894499006315486,639539,45565025,504884,49095,45515930,134655
3,m_3807635_ne_18_1_20170626,0.004360740614120273,0.0045941605975800635,0.004365244272220693,0.8086753909741276,256219,47269329,207198,11142,47258187,49021
4,m_3907557_se_18_1_20170709,0.013861208186601347,0.014023018897926143,0.013883540823428275,0.896018591403562,719042,45769022,644275,7628,45761394,74767
5,m_3807551_nw_18_1_20170611,0.006426372353012864,0.007131880489975504,0.006440205131459304,0.7494966530860717,400817,46378991,300411,33217,46345774,100406
6,m_3807608_nw_18_1_20170611,0.006429211867089803,0.007108768403066345,0.006443557318060326,0.7427860536553876,404321,46340063,300324,31971,46308092,103997
7,m_3807639_se_18_1_20170709,0.0011527648829933984,0.0012314608917115234,0.0011530127541775873,0.842823434443789,64418,47037362,54293,3711,47033651,10125
8,m_3807634_ne_18_1_20170626,0.013143091343226023,0.015291763063476039,0.013214568068452531,0.7084450980125176,881316,46727452,624364,103658,46623794,256952
9,m_3807539_ne_18_1_20170611,0.014092638852435377,0.014372378098587095,0.014125514909918932,0.8582573208541592,756674,45338690,649421,13079,45325611,107253
10,m_3907631_nw_18_1_20170611,0.005205346483754865,0.005465005086899149,0.005212676579203525,0.7873108083465756,307096,46153428,241780,12127,46141301,65316
11,m_3807518_ne_18_1_20170611,0.014220174609051959,0.015960318036112836,0.01430742817095625,0.6998580866782441,944943,45643477,661326,82240,45561237,283617
12,m_3807622_nw_18_1_20170730,0.0021989073870872827,0.002671609514458212,0.002199912874064255,0.8279127805595994,125018,46967942,103504,22310,46945632,21514
13,m_3807605_sw_18_1_20170611,0.0039108890861621285,0.005213894369340423,0.003914253342520838,0.8198279663772713,224491,46896525,184044,61640,46834885,40447
14,m_3807536_sw_18_1_20170611,0.027595413316113364,0.03349516277129408,0.027974936374895894,0.6704107050519845,1904895,44655649,1277062,282491,44373158,627833
15,m_3807548_sw_18_1_20170611,0.0051237793958329005,0.0055979389145715125,0.0051300230372216,0.8080577389235151,292489,45857175,236348,21995,45835180,56141
16,m_3807646_sw_18_1_20170730,0.0003648460824609629,0.00044038564596375146,0.0003649001405026178,0.7112136442283925,24274,47297886,17264,3576,47294310,7010
17,m_3807613_ne_18_1_20170730,0.0002375695023544444,0.00030358464353589837,0.00023758321811556213,0.804502625332662,13903,47070165,11185,3109,47067056,2718
18,m_3807543_nw_18_1_20170611,0.00845942477042695,0.008666191461034567,0.008467067634239643,0.9035836626538005,437011,46251549,394876,9736,46241813,42135
19,m_3807511_nw_18_1_20170611,0.016057523655497993,0.01612750118410466,0.016083022436132886,0.9101371823696291,818837,45595979,745254,3301,45592678,73583
20,m_3907620_sw_18_1_20170611,0.004503431305866185,0.004665296584468859,0.0045079714834423525,0.8172342901474011,257800,46532580,210683,7608,46524972,47117
21,m_3807562_nw_18_1_20170611,0.001961783452641662,0.0019785692102412865,0.001961989800483751,0.9491170931188413,96103,46399617,91213,782,46398835,4890
22,m_3807606_ne_18_1_20170611,0.011764759449880554,0.014497608165492778,0.011823509150332737,0.7030600486971096,782798,46126802,550354,129723,45997079,232444
23,m_3907646_nw_18_1_20170611,0.006134842451518898,0.009546862747783687,0.006161287023441895,0.5883671069352078,485537,46240703,285674,160415,46080288,199863
24,m_3807653_sw_18_1_20170730,0.00251632245018345,0.0028722474654794693,0.002518185206994508,0.7728157726217197,154597,47342355,119475,16948,47325407,35122
25,m_3807635_sw_18_1_20170716,0.004833456201427935,0.005360609205430395,0.0048416062412309,0.7416927879468029,310092,47298676,229993,25219,47273457,80099
26,m_3907558_sw_18_1_20170609,0.032801848292558826,0.03288594653510834,0.03284017501578453,0.9656430554929937,1576217,44829563,1522063,4035,44825528,54154
27,m_3907719_nw_18_1_20170628,0.02053490015344418,0.024196834710993934,0.020742584996391755,0.6722310058118212,1455998,46386458,978767,178869,46207589,477231
28,m_3907517_ne_18_1_20170609,0.010697338838060198,0.010920866304802757,0.010711464602783513,0.890251167022279,553974,45559126,493176,10419,45548707,60798
29,m_3807740_sw_18_1_20170731,0.0007300283146205097,0.0007859592015553061,0.0007302488997852154,0.7073254452206922,49526,47938970,35031,2686,47936284,14495
30,m_3807533_nw_18_1_20170611,0.005213741895678741,0.00658098394591907,0.005222355854141308,0.7596684136608091,321123,46532509,243947,64396,46468113,77176
31,m_3907637_nw_18_1_20170611,0.007245299623718257,0.007873757113967352,0.007265265319176168,0.725008297200364,467025,46295911,338597,29603,46266308,128428
32,m_3907642_nw_18_1_20170609,0.006832918796442037,0.008471654288384001,0.0068612638036358135,0.6232093296534237,517404,46751404,322451,77994,46673410,194953
33,m_3807617_se_18_1_20170716,0.01705041958899284,0.019947832427627654,0.01718403198334324,0.686802408859964,1179147,46458109,809841,140419,46317690,369306
34,m_3807647_sw_18_1_20170730,0.00026803400669010675,0.0003022457298467319,0.0002680421572738047,0.8981113320079522,14084,47179304,12649,1615,47177689,1435
35,m_3807552_nw_18_1_20170611,0.0029517382300078476,0.0029710372950879412,0.0029563572910251117,0.6538850557246579,210589,46441131,137701,903,46440228,72888
36,m_3807633_ne_18_1_20170626,0.002841630352964471,0.0029020706915708584,0.002842682872536482,0.8847232732301751,153292,47576076,135621,2893,47573183,17671
37,m_3807652_nw_18_1_20170626,0.0026202418286339455,0.0027658771436786904,0.0026218178217115966,0.8133989698115668,153370,47464074,124751,6953,47457121,28619
38,m_3907717_se_18_1_20170628,0.006817271888304506,0.007651068652526284,0.006852990708362407,0.5667164703662216,577601,47478431,327336,40344,47438087,250265
39,m_3807626_ne_18_1_20170626,0.0035265722674164782,0.0038502382315307427,0.003529660520096954,0.801217727355341,209078,47307722,167517,15434,47292288,41561
40,m_3907647_sw_18_1_20170611,0.0006295160749319934,0.0009693262161224636,0.0006296853130861535,0.7007998090008356,41885,46601855,29353,15860,46585995,12532
41,m_3807619_sw_18_1_20170626,0.002217052578337589,0.002399979810753622,0.0022189826239021413,0.7182269910175554,146508,47324308,105226,8703,47315605,41282
42,m_3907645_sw_18_1_20170611,0.043490924442878005,0.05453590521906592,0.044222764086632484,0.7243675272122398,2782847,44108609,2015804,541464,43567145,767043
43,m_3907534_sw_18_1_20170609,0.021900298155268377,0.022053672049665768,0.021935512618752134,0.9317031279082839,1085262,45092218,1011142,7241,45084977,74120
44,m_3807612_ne_18_1_20170730,0.003917265481311011,0.005310203793641171,0.003921719580524132,0.7752329812354518,238002,46928926,184507,65959,46862967,53495
45,m_3907644_se_18_1_20170611,0.06416133128836668,0.10054779807849473,0.0676921172166528,0.5515894205061067,5247510,41689858,2894471,1824978,39864880,2353039
46,m_3807551_sw_18_1_20170611,0.00921022915969076,0.009837449525231056,0.009238684783597788,0.7493912870949383,574573,46205235,430580,29614,46175621,143993
47,m_3907641_se_18_1_20170609,0.013160007695353056,0.015195179027996645,0.013216373651467892,0.7552429941334916,821954,46446854,620775,97483,46349371,201179
48,m_3807601_se_18_1_20170716,0.04103962836572865,0.0531806631739961,0.042096915524103336,0.6203539888613379,3102527,44396561,1924665,601368,43795193,1177862
49,m_3807632_ne_18_1_20170611,0.010827093879502855,0.01167386476009339,0.010854857020456249,0.8089118393538398,626470,46218342,506759,40101,46178241,119711
50,m_3807561_ne_18_1_20170611,0.005099058186664341,0.0051834083185982064,0.005106784795954827,0.7711746349256863,307951,46270089,237484,3949,46266140,70467
51,m_3807605_ne_18_1_20170611,0.0014578636023173234,0.07808676635558885,0.001477076934081399,0.10078186369408687,627603,46364713,63251,3606227,42758486,564352
52,m_3907619_nw_18_1_20170609,0.008476465208082587,0.010460390724992602,0.00852901657698332,0.5790747831568626,685288,46224432,396833,93861,46130571,288455
53,m_3907657_sw_18_1_20170716,0.02894323702980279,0.03757058136980583,0.02943467723975857,0.6341749760188439,2146477,45306555,1361242,421596,44884959,785235
54,m_3807614_nw_18_1_20170730,0.001893641356694826,0.0020682202697458454,0.0018944178199088778,0.8220676403477168,108249,46893031,88988,8221,46884810,19261
55,m_3807526_nw_18_1_20170611,0.005588323400126595,0.00583032381928434,0.005593717023653862,0.8528468232193253,305797,46373943,260798,11360,46362583,44999
56,m_3807630_se_18_1_20170730,0.0005280093045728368,0.000597278674892021,0.000528052334722038,0.8663023425806676,28729,47110071,24888,3267,47106804,3841
57,m_3807664_nw_18_1_20170611,0.004618962997015998,0.029918818804194666,0.004631946494623209,0.6223343652706712,341429,46860635,212483,1199747,45660888,128946
58,m_3907641_sw_18_1_20170609,0.009985247629439663,0.010994333315143266,0.01002115326450729,0.7359284292004376,641826,46710022,472338,48264,46661758,169488
59,m_3807561_sw_18_1_20170611,0.008138258566979997,0.008225970580193412,0.008162464894393817,0.7329239221564984,517654,46105902,379401,4123,46101779,138253
60,m_3807510_nw_18_1_20170611,0.014442343178215303,0.014873938374651322,0.014484522650116108,0.8322015931562471,806575,45690525,671233,20362,45670163,135342
