,tp,tn,fp,fn,iou,recall,precision
unet_model_53_0_metrics,1575720.0,325160609.0,244769.0,174614.0,0.789793810144138,0.9002396114113078,0.8655476632926647
unet_model_19_0_metrics,1571350.0,325205494.0,199884.0,178984.0,0.8057304362896865,0.8977429450607712,0.8871498627510538
unet_model_23_0_metrics,1539427.0,325161359.0,244019.0,210907.0,0.7718929397152862,0.8795047116721723,0.8631755601234913
unet_model_75_0_metrics,1583512.0,325133032.0,272346.0,166822.0,0.7828781616469239,0.9046913331969784,0.853250625856073
unet_model_39_0_metrics,1578549.0,325146240.0,259138.0,171785.0,0.7855541157080069,0.9018558743645498,0.8589868677310118
unet_model_47_0_metrics,1584337.0,325141383.0,263995.0,165997.0,0.7865333815876155,0.9051626718100659,0.8571712224860036
unet_model_48_0_metrics,1582238.0,325138070.0,267308.0,168096.0,0.7842015580563846,0.903963472114465,0.8554737216592613
unet_model_64_0_metrics,1584088.0,325135493.0,269885.0,166246.0,0.7841169694968714,0.9050204132468431,0.8544288401179521
unet_model_51_0_metrics,1583105.0,325154901.0,250477.0,167229.0,0.7912316555636689,0.9044588061478552,0.8633947104629082
unet_model_09_0_metrics,1567255.0,325187997.0,217381.0,183079.0,0.7964847551601731,0.8954033915812639,0.878193088114327
unet_model_14_0_metrics,1576495.0,325199218.0,206160.0,173839.0,0.8057755352175882,0.9006823840478446,0.8843522723129265
unet_model_67_0_metrics,1586865.0,325115252.0,290126.0,163469.0,0.7776996363565079,0.9066069675844725,0.8454302657817752
unet_model_65_0_metrics,1586016.0,325127425.0,277953.0,164318.0,0.7819485112313987,0.9061219173026406,0.8508811037093428
unet_model_10_0_metrics,1573754.0,325202506.0,202872.0,176580.0,0.8057286328221396,0.8991163972133318,0.8858105194903148
unet_model_05_0_metrics,1571354.0,325181221.0,224157.0,178980.0,0.795827380322321,0.8977452303388953,0.8751569887346833
unet_model_04_0_metrics,1571732.0,325172527.0,232851.0,178602.0,0.7925291891578445,0.897961189121619,0.8709668660294373
unet_model_59_0_metrics,1577729.0,325158590.0,246788.0,172605.0,0.7900013118878065,0.9013873923491174,0.8647379004964053
unet_model_21_0_metrics,1543726.0,325182072.0,223306.0,206608.0,0.7821720273200786,0.8819608143360067,0.8736265104423689
unet_model_12_0_metrics,1566286.0,325209857.0,195521.0,184048.0,0.8049345917347387,0.8948497829557102,0.8890224638680627
unet_model_37_0_metrics,1582762.0,325076901.0,328477.0,167572.0,0.7613784995365139,0.904262843548717,0.8281340010328379
unet_model_56_0_metrics,1585792.0,325153333.0,252045.0,164542.0,0.7919539707517907,0.9059939417276931,0.8628578051263524
unet_model_32_0_metrics,1577647.0,325154973.0,250405.0,172687.0,0.7885321373752399,0.9013405441475741,0.8630208549866196
unet_model_70_0_metrics,1573014.0,325133163.0,272215.0,177320.0,0.7777383885384236,0.8986936207603806,0.8524763051090136
unet_model_41_0_metrics,1580749.0,325173510.0,231868.0,169585.0,0.7974711961747591,0.9031127773327834,0.8720810849727217
unet_model_20_0_metrics,1573460.0,325190191.0,215187.0,176874.0,0.8005307498622503,0.8989484292712134,0.8796928628175374
unet_model_61_0_metrics,1571498.0,325181818.0,223560.0,178836.0,0.7961410288495735,0.8978275003513615,0.8754580631935013
unet_model_31_0_metrics,1575023.0,325152364.0,253014.0,175311.0,0.7861954088855256,0.8998414016981902,0.8615925170004765
unet_model_63_0_metrics,1582809.0,325154207.0,251171.0,167525.0,0.7908094159145244,0.9042896955666747,0.8630459437943707
