,tp,tn,fp,fn,iou,recall,precision
unet_model_53_0_metrics,216472.0,326710501.0,11254.0,217485.0,0.4862233862146263,0.49883283366785186,0.950580961330722
unet_model_19_0_metrics,177034.0,326710515.0,11240.0,256923.0,0.39765317376352494,0.40795286168906136,0.940299775858589
unet_model_23_0_metrics,246142.0,326708736.0,13019.0,187815.0,0.5506828107101948,0.5672036630357385,0.9497648180088825
unet_model_75_0_metrics,235980.0,326707309.0,14446.0,197977.0,0.52626766547057,0.5437865963678429,0.9423142964388682
unet_model_92_0_metrics,253164.0,326704589.0,17166.0,180793.0,0.5611861953391869,0.5833849897570497,0.9364998335367883
unet_model_86_0_metrics,244392.0,326707078.0,14677.0,189565.0,0.5447469429423539,0.5631710054221962,0.9433471391791376
unet_model_39_0_metrics,233200.0,326707935.0,13820.0,200757.0,0.5207949492716241,0.5373804317017584,0.9440531131082504
unet_model_47_0_metrics,237617.0,326705182.0,16573.0,196340.0,0.5274165982287528,0.5475588595183394,0.934800739604233
unet_model_48_0_metrics,222799.0,326706476.0,15279.0,211158.0,0.4959509033113998,0.5134126192226419,0.9358235536252825
unet_model_64_0_metrics,242319.0,326707951.0,13804.0,191638.0,0.5411793345110449,0.5583940344319829,0.9461040203339801
unet_model_51_0_metrics,222469.0,326709640.0,12115.0,211488.0,0.49872890475080256,0.5126521752155168,0.9483553865566279
unet_model_09_0_metrics,233889.0,326704180.0,17575.0,200068.0,0.5179898656130684,0.5389681466136046,0.9301092800559921
unet_model_14_0_metrics,192378.0,326708996.0,12759.0,241579.0,0.43064945065768856,0.44331120364460075,0.937802541716024
unet_model_67_0_metrics,235196.0,326707651.0,14104.0,198761.0,0.524919598001165,0.5419799657569759,0.9434255916566386
unet_model_65_0_metrics,235043.0,326706312.0,15443.0,198914.0,0.5230151312861593,0.5416273962627633,0.9383478517761472
unet_model_10_0_metrics,212818.0,326710752.0,11003.0,221139.0,0.47828568860122256,0.49041264457077544,0.9508401803226686
unet_model_05_0_metrics,245918.0,326703153.0,18602.0,188039.0,0.5433943419532039,0.5666874828612052,0.9296763949795857
unet_model_04_0_metrics,228273.0,326706736.0,15019.0,205684.0,0.5084302947150849,0.5260267722378024,0.9382675961396182
unet_model_59_0_metrics,235197.0,326706315.0,15440.0,198760.0,0.5233613041475578,0.5419822701327551,0.9383969645343664
unet_model_21_0_metrics,264191.0,326698344.0,23411.0,169766.0,0.5776333280859177,0.6087953414739249,0.9185993143302202
unet_model_12_0_metrics,252122.0,326704670.0,17085.0,181835.0,0.5589767693474222,0.5809838301951575,0.9365358255914593
unet_model_89_0_metrics,240939.0,326706034.0,15721.0,193018.0,0.5358033970974786,0.5552139958567324,0.9387477596820697
unet_model_82_0_metrics,219831.0,326701980.0,19775.0,214126.0,0.4844952527042395,0.5065732319100741,0.9174686777459663
unet_model_95_0_metrics,254737.0,326704371.0,17384.0,179220.0,0.5644003093005067,0.5870097728576794,0.9361166539884831
unet_model_37_0_metrics,211774.0,326708901.0,12854.0,222183.0,0.47396774027497085,0.48800687625732503,0.9427765015937462
unet_model_56_0_metrics,242594.0,326705788.0,15967.0,191363.0,0.5391888407819987,0.5590277377712538,0.9382466806672314
unet_model_90_0_metrics,249558.0,326706952.0,14803.0,184399.0,0.5561057135217042,0.5750754106973732,0.944004599770768
unet_model_32_0_metrics,241630.0,326704531.0,17224.0,192327.0,0.5355500342434633,0.5568063195201368,0.9334605607794355
unet_model_70_0_metrics,207954.0,326706706.0,15049.0,226003.0,0.46314303149623837,0.4792041607809069,0.9325166029156559
unet_model_41_0_metrics,230997.0,326708608.0,13147.0,202960.0,0.5166516067849986,0.5323038918602534,0.9461506324136575
unet_model_79_0_metrics,243157.0,326705432.0,16323.0,190800.0,0.5400128808741228,0.5603251013349249,0.9370934176044396
unet_model_20_0_metrics,217039.0,326701006.0,20749.0,216918.0,0.4773172115608767,0.5001394147346396,0.9127416017629149
unet_model_61_0_metrics,221037.0,326709576.0,12179.0,212920.0,0.4954475765237506,0.5093523090997495,0.947778025521405
unet_model_31_0_metrics,210560.0,326710974.0,10781.0,223397.0,0.47344728806623226,0.48520936406141624,0.9512923498131842
unet_model_63_0_metrics,243520.0,326707095.0,14660.0,190437.0,0.5428238341391431,0.5611615897427625,0.9432179099852815
unet_model_03_0_metrics,241939.0,326703184.0,18571.0,192018.0,0.5346387405862179,0.5575183716358995,0.9287129092933093
unet_model_55_0_metrics,242191.0,326704257.0,17498.0,191766.0,0.5364676435082123,0.5580990743322495,0.9326194024390714
unet_model_33_0_metrics,188143.0,326712344.0,9411.0,245814.0,0.42434952454845637,0.4335521722198282,0.9523623920548305
unet_model_71_0_metrics,232264.0,326707635.0,14120.0,201693.0,0.51835733590432,0.5352235359724581,0.9426910838366128
unet_model_36_0_metrics,249192.0,326697339.0,24416.0,184765.0,0.5436445863957956,0.5742320091621981,0.9107628431917195
unet_model_17_0_metrics,237206.0,326706092.0,15663.0,196751.0,0.5275699479560518,0.5466117610731017,0.9380588367890094
unet_model_66_0_metrics,238982.0,326707891.0,13864.0,194975.0,0.5336551881220398,0.5507043324569024,0.9451682051525434
unet_model_91_0_metrics,235250.0,326706802.0,14953.0,198707.0,0.5240471363970506,0.542104402049051,0.9402365279393132
unet_model_57_0_metrics,235203.0,326706239.0,15516.0,198754.0,0.5232861595690954,0.5419960963874301,0.938113984181494
unet_model_43_0_metrics,236349.0,326708604.0,13151.0,197608.0,0.5286172468396897,0.5446369110303555,0.9472905811623247
unet_model_08_0_metrics,290268.0,326694146.0,27609.0,143689.0,0.6288764770368701,0.6688865486672643,0.9131456506762049
unet_model_78_0_metrics,244521.0,326705291.0,16464.0,189436.0,0.5428721129787466,0.5634682698977087,0.9369159147077418
unet_model_80_0_metrics,238302.0,326708432.0,13323.0,195655.0,0.5327803612949383,0.5491373569270688,0.9470521609538003
unet_model_25_0_metrics,279809.0,326690481.0,31274.0,154148.0,0.6014410045762213,0.644785082392956,0.8994673447279343
unet_model_24_0_metrics,249071.0,326708744.0,13011.0,184886.0,0.5572457088650642,0.5739531796929189,0.9503552323318656
unet_model_18_0_metrics,278665.0,326700131.0,21624.0,155292.0,0.6116694945574991,0.6421488765015889,0.9279893702400022
unet_model_52_0_metrics,189783.0,326709604.0,12151.0,244174.0,0.42541940516646193,0.4373313484976622,0.9398268741271901
unet_model_07_0_metrics,220831.0,326709605.0,12150.0,213126.0,0.4950180113739529,0.5088776076892411,0.9478498246638137
unet_model_11_0_metrics,283140.0,326684530.0,37225.0,150817.0,0.6009142963865343,0.6524609581133615,0.883804410594166
unet_model_34_0_metrics,215899.0,326708753.0,13002.0,218058.0,0.483039831393931,0.49751242634638915,0.9431981511657879
unet_model_29_0_metrics,232054.0,326708012.0,13743.0,201903.0,0.5183247710520438,0.534739617058833,0.9440880075834936
unet_model_58_0_metrics,241310.0,326707176.0,14579.0,192647.0,0.5379947206021367,0.5560689192708034,0.9430260777133835
unet_model_45_0_metrics,203240.0,326712679.0,9076.0,230717.0,0.4587468653576596,0.46834133335791334,0.957252397369958
unet_model_69_0_metrics,229761.0,326707957.0,13798.0,204196.0,0.513139998436645,0.529455683397203,0.9433484289227662
unet_model_62_0_metrics,222839.0,326708210.0,13545.0,211118.0,0.4979620202814736,0.5135047942538086,0.9426991674563422
unet_model_22_0_metrics,226022.0,326707135.0,14620.0,207935.0,0.5038644424480078,0.5208396223588974,0.939245850682757
unet_model_28_0_metrics,263431.0,326703051.0,18704.0,170526.0,0.5819608934721568,0.6070440158817578,0.9337054955960798
unet_model_15_0_metrics,210499.0,326710190.0,11565.0,223458.0,0.4724772289583904,0.485068797138887,0.9479204193385691
