,tp,tn,fp,fn,iou,recall,precision
unet_model_53_0_metrics,375586.0,326685581.0,36174.0,58371.0,0.798896477790233,0.8654912813942395,0.9121478531183214
unet_model_19_0_metrics,387332.0,326684047.0,37708.0,46625.0,0.8212014883444818,0.8925584792963358,0.9112836438923395
unet_model_23_0_metrics,381596.0,326690470.0,31285.0,52361.0,0.8202096973188148,0.8793405798270335,0.9242275619367324
unet_model_75_0_metrics,380944.0,326687061.0,34694.0,53013.0,0.8128522077196038,0.8778381268190166,0.9165283251290787
unet_model_92_0_metrics,380747.0,326686313.0,35442.0,53210.0,0.8111372201474651,0.8773841647905207,0.9148415743808702
unet_model_86_0_metrics,376866.0,326687142.0,34613.0,57091.0,0.8042896472245342,0.8684408823915734,0.9158814909144817
unet_model_39_0_metrics,377389.0,326690775.0,30980.0,56568.0,0.8116992194641425,0.8696460709240778,0.9241372386248712
unet_model_47_0_metrics,374359.0,326691593.0,30162.0,59598.0,0.8066013242293464,0.8626638123132016,0.9254377399442798
unet_model_48_0_metrics,378496.0,326689161.0,32594.0,55461.0,0.8112639347038159,0.8721970149116157,0.9207132258142986
unet_model_64_0_metrics,379792.0,326688414.0,33341.0,54165.0,0.8127404782387256,0.8751834859214161,0.9192971754858605
unet_model_51_0_metrics,380502.0,326686664.0,35091.0,53455.0,0.8112218792106565,0.8768195927246248,0.9155640253806008
unet_model_09_0_metrics,377994.0,326694845.0,26910.0,55963.0,0.820180225531444,0.8710402182704738,0.9335398020271471
unet_model_14_0_metrics,379264.0,326692425.0,29330.0,54693.0,0.8186372594093941,0.873966775510016,0.9282172523336123
unet_model_67_0_metrics,383718.0,326686488.0,35267.0,50239.0,0.8177714694900516,0.884230465230426,0.9158275355919663
unet_model_65_0_metrics,386467.0,326682433.0,39322.0,47490.0,0.8165733108800517,0.8905651942473563,0.9076490937999807
unet_model_10_0_metrics,380859.0,326692784.0,28971.0,53098.0,0.8227175716310096,0.8776422548777875,0.929309713783764
