,tp,tn,fp,fn,iou,recall,precision
unet_model_19_0_metrics,195659.0,326712020.0,9735.0,238298.0,0.4409793280023079,0.45087186057604783,0.9526032892879052
unet_model_23_0_metrics,201277.0,326707820.0,13935.0,232680.0,0.4493873523081457,0.4638178437034084,0.9352498931286359
unet_model_09_0_metrics,337794.0,326548222.0,173533.0,96163.0,0.556048659237189,0.778404311947958,0.6606222632483714
unet_model_14_0_metrics,184807.0,326711727.0,10028.0,249150.0,0.4162460443483451,0.4258647746205269,0.948530808119691
unet_model_10_0_metrics,164539.0,326709126.0,12629.0,269418.0,0.3684374342231955,0.37915968632836894,0.9287173755983021
unet_model_05_0_metrics,196627.0,326706774.0,14981.0,237330.0,0.4379825276541527,0.45310249633028155,0.929203999848777
unet_model_04_0_metrics,101311.0,326717749.0,4006.0,332646.0,0.23132319396844025,0.23345861456319406,0.9619624562036518
unet_model_21_0_metrics,215965.0,326706234.0,15521.0,217992.0,0.48047957853332085,0.4976645151478142,0.9329505888045065
unet_model_12_0_metrics,178653.0,326708719.0,13036.0,255304.0,0.3996773998697966,0.4116836460755328,0.9319940111326158
unet_model_37_0_metrics,231881.0,326708465.0,13290.0,202076.0,0.5184629522389195,0.5343409600490371,0.9457929363587048
unet_model_32_0_metrics,229490.0,326705442.0,16313.0,204467.0,0.5096719745930219,0.5288311975610487,0.9336338449896868
unet_model_20_0_metrics,190874.0,326708963.0,12792.0,243083.0,0.42725109625315333,0.43984542247273345,0.937191283768523
unet_model_31_0_metrics,213697.0,326709079.0,12676.0,220260.0,0.478462182597345,0.4924381908806633,0.9440039227293008
unet_model_03_0_metrics,325724.0,325685076.0,1036679.0,108233.0,0.22148512616310223,0.7505904962934116,0.23908050701591232
unet_model_33_0_metrics,209565.0,326707875.0,13880.0,224392.0,0.46794927618754145,0.482916510161145,0.9378818053659738
unet_model_36_0_metrics,269233.0,326700026.0,21729.0,164724.0,0.5908300891403291,0.6204140041524852,0.9253201448986466
unet_model_17_0_metrics,321427.0,326561224.0,160531.0,112530.0,0.5406787016726998,0.7406885935703307,0.6669191091339909
unet_model_08_0_metrics,96868.0,326718824.0,2931.0,337089.0,0.22172272985296002,0.2232202729763548,0.9706309682461748
unet_model_25_0_metrics,203545.0,326712470.0,9285.0,230412.0,0.45921866610113665,0.4690441679705593,0.9563736315369074
unet_model_24_0_metrics,167911.0,326713063.0,8692.0,266046.0,0.37933215708157025,0.38693004145572024,0.9507822630419642
unet_model_18_0_metrics,262423.0,326696270.0,25485.0,171534.0,0.5711776459270158,0.6047212050963575,0.9114821401280965
unet_model_07_0_metrics,219690.0,326702178.0,19577.0,214267.0,0.48439587770707376,0.5062483149252115,0.9181792725281798
unet_model_11_0_metrics,135439.0,326715271.0,6484.0,298518.0,0.3075077025072598,0.3121023511546075,0.9543132543703275
unet_model_34_0_metrics,253493.0,326702393.0,19362.0,180464.0,0.559193415674172,0.5841431293883956,0.929039233292408
unet_model_29_0_metrics,231135.0,326709074.0,12681.0,202822.0,0.5174996305733055,0.5326218957177785,0.9479894674672704
unet_model_22_0_metrics,251203.0,326693048.0,28707.0,182754.0,0.5429490948074629,0.5788661088541031,0.8974420349398021
unet_model_28_0_metrics,261277.0,326696449.0,25306.0,172680.0,0.5689049629515115,0.602080390453432,0.9116974838005045
unet_model_15_0_metrics,253289.0,326597183.0,124572.0,180668.0,0.45349301468679337,0.5836730367294456,0.6703232140919545
unet_model_16_0_metrics,312706.0,326655737.0,66018.0,121251.0,0.6254432721636082,0.7205921324002148,0.82568308319515
unet_model_30_0_metrics,207370.0,326708453.0,13302.0,226587.0,0.46364634361745655,0.4778584053258733,0.9397204901392111
unet_model_13_0_metrics,144529.0,326716419.0,5336.0,289428.0,0.3290036490451703,0.33304912698723604,0.9643946218263103
unet_model_35_0_metrics,174741.0,326712061.0,9694.0,259216.0,0.39387040714435445,0.4026689280274313,0.947439477322634
unet_model_06_0_metrics,90744.0,326718038.0,3717.0,343213.0,0.20733239808624684,0.20910827570473572,0.9606504271604154
unet_model_27_0_metrics,200803.0,326708146.0,13609.0,233154.0,0.44865561727208947,0.46272556958408323,0.9365287390631122
unet_model_02_0_metrics,347173.0,323923274.0,2798481.0,86784.0,0.10740283340314648,0.8000170523807658,0.11036592072745445
unet_model_01_0_metrics,36024.0,326708173.0,13582.0,397933.0,0.08049354357944224,0.08301283306871418,0.7262024755069951
unet_model_26_0_metrics,226402.0,326699859.0,21896.0,207555.0,0.496655720155401,0.5217152851549808,0.9118156408831324
