,tp,tn,fp,fn,iou,recall,precision
unet_model_53_0_metrics,107063.0,327026475.0,9787.0,12387.0,0.8284237486168822,0.8962997069903725,0.9162430466409928
unet_model_19_0_metrics,76375.0,327031244.0,5018.0,43075.0,0.6136115306745509,0.6393888656341565,0.9383485066283341
unet_model_23_0_metrics,99228.0,327021593.0,14669.0,20222.0,0.7398504313333681,0.8307074089577229,0.8712081968796369
unet_model_75_0_metrics,107428.0,327030620.0,5642.0,12022.0,0.8587919291401529,0.8993553788195898,0.9501017069072256
unet_model_92_0_metrics,111063.0,327027477.0,8785.0,8387.0,0.8660896011229383,0.9297865215571369,0.9266988185034377
unet_model_86_0_metrics,105093.0,327030897.0,5365.0,14357.0,0.8419901454152146,0.8798074508162411,0.951429502616379
unet_model_39_0_metrics,103206.0,327029625.0,6637.0,16244.0,0.8185300625758405,0.86401004604437,0.9395773968300211
unet_model_47_0_metrics,105308.0,327026992.0,9270.0,14142.0,0.8181168427594779,0.8816073670992047,0.9190944160310007
unet_model_48_0_metrics,109319.0,327026151.0,10111.0,10131.0,0.8437647131467031,0.9151862704060276,0.9153395294314661
unet_model_64_0_metrics,105853.0,327027940.0,8322.0,13597.0,0.828452243057947,0.8861699455839264,0.9271118896430918
unet_model_51_0_metrics,103516.0,327027476.0,8786.0,15934.0,0.8072304189151253,0.8666052741732942,0.9217645277911346
unet_model_09_0_metrics,61326.0,327031741.0,4521.0,58124.0,0.49468020746787555,0.5134030975303474,0.9313408355733747
unet_model_14_0_metrics,90790.0,327020720.0,15542.0,28660.0,0.6725583738295603,0.7600669736291336,0.8538351578076214
unet_model_67_0_metrics,100712.0,326963253.0,73009.0,18738.0,0.523290674896991,0.8431310171619925,0.5797341714588334
unet_model_65_0_metrics,110105.0,327027816.0,8446.0,9345.0,0.8608947895164821,0.9217664294683968,0.9287564001990705
unet_model_10_0_metrics,100600.0,326993865.0,42397.0,18850.0,0.621574697090462,0.8421933863541231,0.703511262474038
unet_model_05_0_metrics,40993.0,327029650.0,6612.0,78457.0,0.3251812600149133,0.3431812473838426,0.861107026572839
unet_model_04_0_metrics,4045.0,327035704.0,558.0,115405.0,0.03370608626091594,0.033863541230640434,0.8787747121442537
unet_model_59_0_metrics,99435.0,327029892.0,6370.0,20015.0,0.7902956604673342,0.8324403516115529,0.9397949057227919
unet_model_21_0_metrics,90944.0,327026111.0,10151.0,28506.0,0.7017229805325577,0.761356215989954,0.8995894950294278
unet_model_12_0_metrics,61880.0,327032993.0,3269.0,57570.0,0.5042413970126876,0.5180410213478442,0.9498227140861717
unet_model_89_0_metrics,108899.0,327028960.0,7302.0,10551.0,0.8591501514768998,0.9116701548765174,0.9371606096333078
unet_model_82_0_metrics,108512.0,327029780.0,6482.0,10938.0,0.8616713782041101,0.908430305567183,0.9436318416613041
unet_model_95_0_metrics,106741.0,327032031.0,4231.0,12709.0,0.863034742603957,0.8936040184177481,0.9618732653281908
unet_model_37_0_metrics,58683.0,327034281.0,1981.0,60767.0,0.4832620994638931,0.4912766848053579,0.9673447184491626
unet_model_56_0_metrics,110931.0,327029167.0,7095.0,8519.0,0.8766130625469201,0.9286814566764336,0.9398861267856236
unet_model_90_0_metrics,109434.0,327027265.0,8997.0,10016.0,0.851977858572018,0.9161490163248222,0.9240317146693011
unet_model_32_0_metrics,98889.0,327029015.0,7247.0,20561.0,0.780515718604229,0.8278694014231897,0.9317196804100399
unet_model_70_0_metrics,109034.0,327030391.0,5871.0,10416.0,0.8700377430757814,0.9128003348681457,0.9489056176841739
unet_model_41_0_metrics,90661.0,327030524.0,5738.0,28789.0,0.7241988049972841,0.7589870238593553,0.940476560960176
unet_model_99_0_metrics,110995.0,327030328.0,5934.0,8455.0,0.8852405410578702,0.9292172457095019,0.9492512550351068
unet_model_79_0_metrics,110093.0,327028020.0,8242.0,9357.0,0.8621761739184913,0.9216659690246966,0.9303502767566654
