,tp,tn,fp,fn,iou,recall,precision
unet_model_53_0_metrics,92298.0,327032031.0,4231.0,27152.0,0.746258519902006,0.7726915027208037,0.9561686125413088
unet_model_19_0_metrics,78729.0,327030702.0,5560.0,40721.0,0.6297816174706024,0.6590958560066974,0.934036469764738
unet_model_23_0_metrics,84924.0,327029612.0,6650.0,34526.0,0.6734655035685964,0.7109585600669737,0.9273811343831219
unet_model_75_0_metrics,91141.0,327029174.0,7088.0,28309.0,0.720265848993978,0.763005441607367,0.9278420832951573
unet_model_92_0_metrics,96377.0,327029502.0,6760.0,23073.0,0.7636241185326044,0.8068396818752616,0.9344561117736603
unet_model_86_0_metrics,88463.0,327030104.0,6158.0,30987.0,0.7042783899114706,0.7405860192549184,0.9349193096669872
unet_model_39_0_metrics,76761.0,327032518.0,3744.0,42689.0,0.6230904102472523,0.6426203432398493,0.9534935718278368
unet_model_47_0_metrics,95480.0,327028415.0,7847.0,23970.0,0.7500569534238827,0.7993302637086647,0.9240566357292866
unet_model_48_0_metrics,90052.0,327027486.0,8776.0,29398.0,0.7022912669817354,0.7538886563415655,0.9111992552717854
unet_model_64_0_metrics,93117.0,327014755.0,21507.0,26333.0,0.6606057166369886,0.7795479280033487,0.8123691373534339
unet_model_51_0_metrics,89170.0,327027423.0,8839.0,30280.0,0.6950712843657679,0.746504813729594,0.9098144047995592
unet_model_09_0_metrics,76971.0,327027051.0,9211.0,42479.0,0.5982465549000863,0.6443784010046044,0.8931215334988745
unet_model_14_0_metrics,82396.0,327030418.0,5844.0,37054.0,0.6576212747617604,0.6897948932607786,0.9337715321849501
unet_model_67_0_metrics,92282.0,327030754.0,5508.0,27168.0,0.7385041373901631,0.7725575554625366,0.9436752224153799
unet_model_65_0_metrics,91896.0,327030520.0,5742.0,27554.0,0.734040513770848,0.7693260778568438,0.9411909297609538
unet_model_10_0_metrics,72860.0,327029981.0,6281.0,46590.0,0.5794911358376216,0.6099623273336124,0.9206353217674783
unet_model_05_0_metrics,27315.0,327035632.0,630.0,92135.0,0.22747335109926717,0.22867308497279196,0.9774557165861514
unet_model_04_0_metrics,59792.0,327030485.0,5777.0,59658.0,0.47746891644773093,0.5005609041439933,0.9118943403132578
unet_model_59_0_metrics,89559.0,327029229.0,7033.0,29891.0,0.7080714404307298,0.7497614064462118,0.9271885870465463
unet_model_21_0_metrics,72713.0,327033394.0,2868.0,46737.0,0.5944587059958469,0.6087316868982838,0.9620539553591511
unet_model_12_0_metrics,89823.0,327011984.0,24278.0,29627.0,0.6249512968941333,0.7519715362076183,0.7872236001437323
unet_model_89_0_metrics,87813.0,327028917.0,7345.0,31637.0,0.6925588548444339,0.7351444118878192,0.9228125853843082
unet_model_82_0_metrics,93758.0,327029469.0,6793.0,25692.0,0.7426788019929818,0.7849141900376727,0.932442243239749
unet_model_95_0_metrics,93837.0,327030685.0,5577.0,25613.0,0.7505338846809089,0.7855755546253662,0.9439012613917557
unet_model_37_0_metrics,91601.0,327029231.0,7031.0,27849.0,0.7242273543061803,0.766856425282545,0.9287148187200909
unet_model_56_0_metrics,86876.0,327031113.0,5149.0,32574.0,0.6972447611939101,0.7273001255755547,0.9440478130942679
unet_model_90_0_metrics,93255.0,327031297.0,4965.0,26195.0,0.7495478840975767,0.780703223105902,0.9494502138057422
unet_model_32_0_metrics,91849.0,327008967.0,27295.0,27601.0,0.6259088895703431,0.7689326077856844,0.7709074733096085
unet_model_70_0_metrics,88456.0,327031595.0,4667.0,30994.0,0.7126823883915983,0.7405274173294265,0.9498834874306026
unet_model_41_0_metrics,82313.0,327032533.0,3729.0,37137.0,0.6682389043586975,0.6891000418585183,0.9566607005880848
unet_model_99_0_metrics,92893.0,327031678.0,4584.0,26557.0,0.7489317445216634,0.7776726663876099,0.9529735219590262
unet_model_79_0_metrics,93698.0,327029535.0,6727.0,25752.0,0.7425917560252661,0.7844118878191711,0.9330146875777944
unet_model_20_0_metrics,88646.0,327020234.0,16028.0,30804.0,0.6543202586397792,0.7421180410213478,0.8468769704033475
unet_model_61_0_metrics,89421.0,327027598.0,8664.0,30029.0,0.6979799241300717,0.7486061113436584,0.9116684508334608
unet_model_31_0_metrics,79475.0,327030229.0,6033.0,39975.0,0.6333527250703282,0.665341146923399,0.9294451981101184
unet_model_63_0_metrics,83834.0,327032093.0,4169.0,35616.0,0.6781643598475963,0.7018334030975304,0.9526266150017613
unet_model_03_0_metrics,49332.0,327029489.0,6773.0,70118.0,0.3908320987458704,0.41299288405190454,0.8792799215756172
unet_model_55_0_metrics,89250.0,327031941.0,4321.0,30200.0,0.7210897544659088,0.7471745500209293,0.9538211625396757
unet_model_33_0_metrics,95365.0,327025271.0,10991.0,24085.0,0.7310968177183554,0.7983675177898703,0.8966583925683553
unet_model_71_0_metrics,88085.0,327032802.0,3460.0,31365.0,0.7166625986494183,0.7374215152783592,0.962204380359386
unet_model_36_0_metrics,89491.0,327027693.0,8569.0,29959.0,0.6990446730563432,0.7491921305985768,0.9126147256781563
unet_model_17_0_metrics,66712.0,327033041.0,3221.0,52738.0,0.5438286147500224,0.5584930933444956,0.9539416298457095
unet_model_66_0_metrics,93957.0,327026214.0,10048.0,25493.0,0.7255478849094195,0.7865801590623692,0.9033892601317244
unet_model_91_0_metrics,93973.0,327028628.0,7634.0,25477.0,0.7394557930187907,0.7867141063206362,0.9248673811843672
unet_model_57_0_metrics,91439.0,327031173.0,5089.0,28011.0,0.7342198026321072,0.765500209292591,0.9472795458312614
unet_model_43_0_metrics,93626.0,327027043.0,9219.0,25824.0,0.7276500167095415,0.7838091251569694,0.9103602508629491
unet_model_08_0_metrics,71716.0,327029349.0,6913.0,47734.0,0.5675395487603175,0.6003850983675177,0.9120807844433988
unet_model_78_0_metrics,90859.0,327030729.0,5533.0,28591.0,0.7269708680380532,0.7606446211804102,0.9425989708689518
unet_model_80_0_metrics,93925.0,327030501.0,5761.0,25525.0,0.7501337741891687,0.786312264545835,0.9422085347992697
unet_model_25_0_metrics,92808.0,327021973.0,14289.0,26642.0,0.6939486611983041,0.7769610715780662,0.8665788957673884
unet_model_24_0_metrics,86790.0,327023439.0,12823.0,32660.0,0.6561429770247896,0.7265801590623692,0.8712718219509502
unet_model_18_0_metrics,99418.0,326995878.0,40384.0,20032.0,0.6220078331268691,0.8322980326496442,0.7111343185362156
unet_model_52_0_metrics,95240.0,327028434.0,7828.0,24210.0,0.7482832854067475,0.7973210548346589,0.9240501416540536
unet_model_07_0_metrics,86070.0,326981975.0,54287.0,33380.0,0.49540397267133657,0.7205525324403516,0.613221998190329
unet_model_11_0_metrics,80735.0,327021354.0,14908.0,38715.0,0.6008946248083479,0.6758894935119297,0.8441286868876969
unet_model_34_0_metrics,92198.0,327028116.0,8146.0,27252.0,0.7225775102667795,0.7718543323566346,0.9188192617396157
unet_model_29_0_metrics,90888.0,327027211.0,9051.0,28562.0,0.7072941066606485,0.7608874005860192,0.9094347552006724
unet_model_58_0_metrics,94434.0,327029670.0,6592.0,25016.0,0.7492264483267482,0.7905734616994559,0.9347494704333538
unet_model_45_0_metrics,97809.0,327022486.0,13776.0,21641.0,0.7341584975905604,0.8188279614901632,0.8765425460411346
unet_model_69_0_metrics,84155.0,327032599.0,3663.0,35295.0,0.6835590067661417,0.7045207199665132,0.9582887335170466
unet_model_62_0_metrics,85598.0,327031921.0,4341.0,33852.0,0.6914719163751808,0.7166010883214734,0.9517339530125974
unet_model_22_0_metrics,85313.0,327029900.0,6362.0,34137.0,0.67809906845134,0.7142151527835915,0.9306026724843196
unet_model_28_0_metrics,91863.0,327026213.0,10049.0,27587.0,0.7093722731449664,0.7690498116366681,0.9013953214538033
unet_model_15_0_metrics,69777.0,327033207.0,3055.0,49673.0,0.5695849149014326,0.5841523650062788,0.9580541520210897
unet_model_16_0_metrics,64036.0,327032949.0,3313.0,55414.0,0.5216229645740166,0.5360904143993303,0.9508084752557573
unet_model_100_0_metrics,91129.0,327031581.0,4681.0,28321.0,0.7341357114661125,0.7629049811636668,0.9511428869637825
unet_model_72_0_metrics,94155.0,327031628.0,4634.0,25295.0,0.7588004899906515,0.7882377563834241,0.9530919434349978
unet_model_85_0_metrics,94886.0,327029876.0,6386.0,24564.0,0.7540449473918434,0.7943574717455002,0.9369420965321116
unet_model_77_0_metrics,91717.0,327032178.0,4084.0,27733.0,0.7424433759127042,0.7678275429049811,0.9573699648229141
unet_model_68_0_metrics,91557.0,327030242.0,6020.0,27893.0,0.7297122818203554,0.7664880703223106,0.9383051333818421
unet_model_97_0_metrics,95730.0,327031488.0,4774.0,23720.0,0.7706240340030912,0.8014231896190875,0.9524994030088355
unet_model_42_0_metrics,95632.0,327030041.0,6221.0,23818.0,0.7609711070971028,0.8006027626622018,0.9389217794272138
unet_model_81_0_metrics,94764.0,327029536.0,6726.0,24686.0,0.7510461577479077,0.7933361239012139,0.9337274608335797
unet_model_30_0_metrics,87354.0,327031739.0,4523.0,32096.0,0.7046211675122809,0.731301799916283,0.950771139675871
unet_model_94_0_metrics,95936.0,327030522.0,5740.0,23514.0,0.7663231887530952,0.8031477605692758,0.9435461662535898
unet_model_76_0_metrics,94538.0,327030829.0,5433.0,24912.0,0.7570125637596791,0.7914441188781917,0.9456542397295216
unet_model_46_0_metrics,88910.0,327030974.0,5288.0,30540.0,0.7127739742500281,0.7443281707827543,0.9438629270260515
unet_model_83_0_metrics,94836.0,327029909.0,6353.0,24614.0,0.7538452978068886,0.7939388865634156,0.937216495864175
unet_model_13_0_metrics,71175.0,327031111.0,5151.0,48275.0,0.571223344916975,0.5958560066973629,0.9325131672038361
unet_model_40_0_metrics,91216.0,327028458.0,7804.0,28234.0,0.716802615241957,0.763633319380494,0.9211876388608362
unet_model_35_0_metrics,95618.0,327024200.0,12062.0,23832.0,0.7270667315530142,0.8004855588112181,0.887982912332838
unet_model_93_0_metrics,94218.0,327030032.0,6230.0,25232.0,0.7496658179503501,0.7887651737128506,0.9379778591908251
