,tp,tn,fp,fn,iou,recall,precision
unet_model_53_0_metrics,6281.0,327139524.0,9306.0,601.0,0.3880034593526069,0.9126707352513804,0.40296400846859565
unet_model_19_0_metrics,5730.0,327127309.0,21521.0,1152.0,0.20173925289582087,0.8326068003487358,0.21026751311878464
unet_model_23_0_metrics,5931.0,327096060.0,52770.0,951.0,0.09942667471333735,0.8618134263295554,0.10103746103132825
unet_model_75_0_metrics,6397.0,327127427.0,21403.0,485.0,0.22616227682517234,0.9295263004940424,0.23010791366906475
unet_model_92_0_metrics,6482.0,327142027.0,6803.0,400.0,0.47365728900255755,0.9418773612321999,0.4879187053067369
unet_model_86_0_metrics,6563.0,327137111.0,11719.0,319.0,0.3528304929842482,0.9536471955826794,0.35898698173066407
unet_model_39_0_metrics,5415.0,327132826.0,16004.0,1467.0,0.23660753298960063,0.7868352223190933,0.25281292310565384
unet_model_47_0_metrics,6339.0,327124125.0,24705.0,543.0,0.20068382562446577,0.9210985178727115,0.20419404715887127
unet_model_48_0_metrics,6455.0,327139916.0,8914.0,427.0,0.40864775892631044,0.9379540831153734,0.4200013013208407
unet_model_64_0_metrics,6410.0,327135077.0,13753.0,472.0,0.3106372667797432,0.9314152862539959,0.3179090413132966
unet_model_51_0_metrics,6546.0,327128829.0,20001.0,336.0,0.24349960941859167,0.951176983435048,0.24658153463668211
unet_model_09_0_metrics,5582.0,327123490.0,25340.0,1300.0,0.17323567748743096,0.8111014240046498,0.18051872453269516
unet_model_14_0_metrics,5524.0,327112526.0,36304.0,1358.0,0.12791182327606168,0.8026736413833188,0.13206464569188103
unet_model_67_0_metrics,6596.0,327131275.0,17555.0,286.0,0.26991856610876946,0.9584423132810229,0.2731149848867542
unet_model_65_0_metrics,6626.0,327108987.0,39843.0,256.0,0.14180845371856607,0.962801511188608,0.14258968344487724
unet_model_10_0_metrics,4164.0,327135492.0,13338.0,2718.0,0.2059347181008902,0.6050566695727986,0.2379156667809393
unet_model_05_0_metrics,5471.0,327122225.0,26605.0,1411.0,0.16337683280078835,0.7949723917465853,0.17056366130440204
unet_model_04_0_metrics,5325.0,327108067.0,40763.0,1557.0,0.11176408857172841,0.7737576285963382,0.11553983683388301
unet_model_59_0_metrics,6666.0,327132084.0,16746.0,216.0,0.28212290502793297,0.9686137750653879,0.28472578165043566
unet_model_21_0_metrics,5838.0,327124686.0,24144.0,1044.0,0.18816476503577645,0.8482999128160419,0.19471683009805885
unet_model_12_0_metrics,5496.0,327142534.0,6296.0,1386.0,0.4170587342540598,0.7986050566695728,0.466078697421981
unet_model_89_0_metrics,6226.0,327145251.0,3579.0,656.0,0.5951629863301787,0.9046788724208079,0.634982151963284
unet_model_82_0_metrics,5610.0,327134636.0,14194.0,1272.0,0.2661795407098121,0.8151700087183958,0.2832761058372046
unet_model_95_0_metrics,6523.0,327136548.0,12282.0,359.0,0.3403777916927572,0.9478349317058995,0.3468758308960383
unet_model_37_0_metrics,5514.0,327127513.0,21317.0,1368.0,0.1955388488953509,0.8012205754141238,0.20550855353881703
unet_model_56_0_metrics,5688.0,327131649.0,17181.0,1194.0,0.23637950380251838,0.8265039232781168,0.24872097599370327
unet_model_90_0_metrics,6517.0,327135860.0,12970.0,365.0,0.3282792665726375,0.9469630921243825,0.33442808025863396
unet_model_32_0_metrics,6569.0,327131794.0,17036.0,313.0,0.27464670959110293,0.9545190351641964,0.278288498199534
unet_model_70_0_metrics,6349.0,327135810.0,13020.0,533.0,0.3190131645060798,0.9225515838419064,0.3277918323093603
unet_model_41_0_metrics,5941.0,327115717.0,33113.0,941.0,0.14854356794599324,0.8632664922987504,0.15212270189993343
unet_model_99_0_metrics,6186.0,327135837.0,12993.0,696.0,0.31124528301886795,0.8988666085440279,0.3225402784295323
unet_model_79_0_metrics,6375.0,327135378.0,13452.0,507.0,0.31351431100619653,0.9263295553618134,0.3215312452715993
unet_model_20_0_metrics,6133.0,327107852.0,40978.0,749.0,0.12814458838278311,0.8911653589072944,0.1301819108063934
unet_model_61_0_metrics,6685.0,327125258.0,23572.0,197.0,0.21951139423392657,0.9713746004068585,0.22094060878474403
unet_model_31_0_metrics,5752.0,327129023.0,19807.0,1130.0,0.215519502416726,0.8358035454809648,0.22504792832270434
unet_model_63_0_metrics,6481.0,327136748.0,12082.0,401.0,0.3417527947690361,0.9417320546352804,0.34913537682486667
unet_model_03_0_metrics,3402.0,327148564.0,266.0,3480.0,0.47593732512590936,0.4943330427201395,0.9274809160305344
unet_model_55_0_metrics,6441.0,327131983.0,16847.0,441.0,0.27144001011420626,0.9359197907585004,0.27658021298522845
unet_model_33_0_metrics,6330.0,327133012.0,15818.0,552.0,0.2788546255506608,0.9197907585004359,0.2858045873216543
unet_model_71_0_metrics,6433.0,327137479.0,11351.0,449.0,0.3528218066143805,0.9347573379831444,0.36172964462438145
unet_model_36_0_metrics,5720.0,327121916.0,26914.0,1162.0,0.16925079891111375,0.8311537343795409,0.17527731813446099
unet_model_17_0_metrics,6538.0,327121468.0,27362.0,344.0,0.19092395748160262,0.950014530659692,0.1928613569321534
unet_model_66_0_metrics,6651.0,327118736.0,30094.0,231.0,0.17987343141497186,0.9664341761115954,0.1810042182609879
unet_model_91_0_metrics,5770.0,327141934.0,6896.0,1112.0,0.41878356800696764,0.8384190642255158,0.4555502921206379
unet_model_57_0_metrics,6532.0,327132070.0,16760.0,350.0,0.27628796210134504,0.949142691078175,0.28043963592649834
unet_model_43_0_metrics,4473.0,327137605.0,11225.0,2409.0,0.24703153476556028,0.6499564080209241,0.28494075678430375
unet_model_08_0_metrics,6020.0,327089787.0,59043.0,862.0,0.0913158892681077,0.8747457134553909,0.0925257058543258
unet_model_78_0_metrics,6191.0,327134284.0,14546.0,691.0,0.28892103789434387,0.8995931415286254,0.29854848820948066
unet_model_80_0_metrics,6266.0,327139547.0,9283.0,616.0,0.3876275904732447,0.9104911362975879,0.4029841147340665
unet_model_25_0_metrics,5877.0,327078078.0,70752.0,1005.0,0.07570136795733828,0.8539668700959023,0.07669420193399366
unet_model_24_0_metrics,6499.0,327120404.0,28426.0,383.0,0.18406593406593408,0.9443475733798314,0.18608446671438797
unet_model_18_0_metrics,5166.0,327142750.0,6080.0,1716.0,0.3985496065422003,0.7506538796861377,0.45936332918370976
unet_model_52_0_metrics,5212.0,327137325.0,11505.0,1670.0,0.28346114102354925,0.7573379831444348,0.3117784291439852
unet_model_07_0_metrics,4540.0,327143051.0,5779.0,2342.0,0.3585814706579259,0.6596919500145306,0.4399651128985367
unet_model_11_0_metrics,5622.0,327132042.0,16788.0,1260.0,0.23751584283903676,0.8169136878814298,0.2508701472556894
unet_model_34_0_metrics,5731.0,327123485.0,25345.0,1151.0,0.17783225245911813,0.8327521069456554,0.18441884412408288
unet_model_29_0_metrics,4021.0,327146576.0,2254.0,2861.0,0.4401269702276708,0.58427782621331,0.640796812749004
unet_model_58_0_metrics,6638.0,327124345.0,24485.0,244.0,0.211623680938566,0.964545190351642,0.21328278122288982
unet_model_45_0_metrics,6461.0,327128390.0,20440.0,421.0,0.23647609984627774,0.9388259226968905,0.2401769450949779
unet_model_69_0_metrics,6347.0,327127072.0,21758.0,535.0,0.2216131284916201,0.9222609706480674,0.22583170254403132
unet_model_62_0_metrics,5516.0,327111313.0,37517.0,1366.0,0.12423703236559382,0.8015111886079628,0.12818069853368344
unet_model_22_0_metrics,5164.0,327088032.0,60798.0,1718.0,0.07630023640661938,0.7503632664922988,0.07828749886298171
unet_model_28_0_metrics,6539.0,327133414.0,15416.0,343.0,0.2932550004484707,0.9501598372566115,0.29783648371669325
unet_model_15_0_metrics,6035.0,327132358.0,16472.0,847.0,0.2584139761925152,0.8769253124091834,0.26813880126182965
unet_model_16_0_metrics,5825.0,327120487.0,28343.0,1057.0,0.1653655074520937,0.8464109270560883,0.17048115195504565
unet_model_100_0_metrics,6508.0,327134219.0,14611.0,374.0,0.3027962592471968,0.9456553327521069,0.3081585302334391
unet_model_72_0_metrics,6538.0,327133404.0,15426.0,344.0,0.29307871615563924,0.950014530659692,0.29766891276634494
unet_model_85_0_metrics,6048.0,327121813.0,27017.0,834.0,0.1784123425469778,0.8788142981691369,0.182912445183729
unet_model_77_0_metrics,6644.0,327137202.0,11628.0,238.0,0.3589411129119395,0.9654170299331589,0.3636164623467601
unet_model_68_0_metrics,6616.0,327130231.0,18599.0,266.0,0.2596444409560064,0.961348445219413,0.26238350188379933
unet_model_97_0_metrics,5987.0,327140391.0,8439.0,895.0,0.3907708374127015,0.8699505957570474,0.41501455704977125
unet_model_42_0_metrics,6392.0,327127240.0,21590.0,490.0,0.2245012644001124,0.9287997675094449,0.2284325637910085
unet_model_81_0_metrics,6331.0,327140713.0,8117.0,551.0,0.42209480632042135,0.9199360650973554,0.4381921373200443
unet_model_30_0_metrics,6304.0,327120936.0,27894.0,578.0,0.18127444214400737,0.9160127869805289,0.18433826539563716
unet_model_94_0_metrics,6554.0,327138648.0,10182.0,328.0,0.3840834505391467,0.952339436210404,0.3916108986615679
unet_model_76_0_metrics,6417.0,327136335.0,12495.0,465.0,0.3311658151416628,0.9324324324324325,0.33930837563451777
unet_model_46_0_metrics,5631.0,327125896.0,22934.0,1251.0,0.18885833109739736,0.8182214472537053,0.19712935410467355
unet_model_83_0_metrics,5700.0,327134089.0,14741.0,1182.0,0.26360819497757015,0.8282476024411508,0.2788513282129054
unet_model_13_0_metrics,5535.0,327128807.0,20023.0,1347.0,0.2057238431518305,0.8042720139494333,0.21656624148994444
unet_model_40_0_metrics,6653.0,327131306.0,17524.0,229.0,0.27259690240104895,0.9667247893054345,0.27517888902676096
unet_model_35_0_metrics,5400.0,327134100.0,14730.0,1482.0,0.2498611882287618,0.7846556233653008,0.26825633383010433
unet_model_93_0_metrics,6589.0,327139979.0,8851.0,293.0,0.4188012457891057,0.9574251671025864,0.4267487046632124
unet_model_49_0_metrics,5865.0,327132436.0,16394.0,1017.0,0.2519762845849802,0.8522231909328684,0.26348892582775507
