,tp,tn,fp,fn,iou,recall,precision
unet_model_53_0_metrics,372620.0,326686950.0,34805.0,61337.0,0.7949023171673472,0.85865650283323,0.9145732343376082
unet_model_19_0_metrics,373475.0,326679283.0,42472.0,60482.0,0.7839048420646099,0.8606267441244179,0.8978908370537593
unet_model_23_0_metrics,364790.0,326693650.0,28105.0,69167.0,0.7894827966809649,0.840613240482352,0.9284668931902925
unet_model_39_0_metrics,374075.0,326693105.0,28650.0,59882.0,0.8086237346170724,0.8620093695919181,0.9288596436774474
unet_model_47_0_metrics,371845.0,326694033.0,27722.0,62112.0,0.80541891660656,0.8568706116043755,0.9306198960374605
unet_model_48_0_metrics,390702.0,326679822.0,41933.0,43255.0,0.8209922461072937,0.9003242256721288,0.9030753406451165
unet_model_51_0_metrics,386283.0,326688765.0,32990.0,47674.0,0.8272523434137065,0.8901411891039895,0.9213161830120232
unet_model_09_0_metrics,277003.0,326707439.0,14316.0,156954.0,0.6179337144998694,0.6383190039566132,0.9508579941576073
unet_model_14_0_metrics,361900.0,326686172.0,35583.0,72057.0,0.7707543553264897,0.8339535944805592,0.9104791903049941
unet_model_10_0_metrics,392746.0,326541941.0,179814.0,41211.0,0.6398901218858499,0.9050343697647463,0.6859473242978902
unet_model_05_0_metrics,265209.0,326698498.0,23257.0,168748.0,0.5800544165314273,0.6111411960171169,0.9193769803027046
unet_model_04_0_metrics,356118.0,326650685.0,71070.0,77839.0,0.7051464575161328,0.8206296937254152,0.8336329672181803
unet_model_59_0_metrics,367094.0,326692480.0,29275.0,66863.0,0.7924625241779497,0.8459225222775528,0.9261420544997212
unet_model_21_0_metrics,380117.0,326684231.0,37524.0,53840.0,0.8062191265395636,0.8759324080496455,0.9101524993954138
unet_model_12_0_metrics,343617.0,326685849.0,35906.0,90340.0,0.7313131700091303,0.7918226921100477,0.9053917680878366
unet_model_37_0_metrics,378269.0,326676693.0,45062.0,55688.0,0.7896743135449742,0.8716739216097448,0.8935537439970141
unet_model_56_0_metrics,382868.0,326690931.0,30824.0,51089.0,0.8237600074013353,0.8822717458181341,0.9254904615027605
unet_model_32_0_metrics,384769.0,326589148.0,132607.0,49188.0,0.6791271595088992,0.8866523641743307,0.7436931747897081
unet_model_41_0_metrics,385748.0,326685414.0,36341.0,48209.0,0.8202203709137611,0.8889083480621351,0.9139020443555743
unet_model_20_0_metrics,365328.0,326690671.0,31084.0,68629.0,0.7855823465027815,0.8418529946515438,0.9215866320898459
unet_model_61_0_metrics,365293.0,326681561.0,40194.0,68664.0,0.7704149100181166,0.8417723414992729,0.9008747506085275
unet_model_31_0_metrics,384451.0,326680940.0,40815.0,49506.0,0.8097592107369432,0.8859195726765555,0.9040247750819487
unet_model_63_0_metrics,373102.0,326693161.0,28594.0,60855.0,0.8066180810332266,0.8597672119587886,0.9288168166972038
unet_model_03_0_metrics,243419.0,326702088.0,19667.0,190538.0,0.5366096150115515,0.5609288477890667,0.9252449769276967
unet_model_55_0_metrics,379501.0,326692119.0,29636.0,54456.0,0.8186081325645556,0.8745129125696786,0.9275646054988915
unet_model_33_0_metrics,359701.0,326694500.0,27255.0,74256.0,0.7799038186343807,0.8288862721421708,0.929565635369396
unet_model_36_0_metrics,373805.0,326681348.0,40407.0,60152.0,0.7880130026730527,0.861387188131543,0.9024485046304791
unet_model_17_0_metrics,367192.0,326685097.0,36658.0,66765.0,0.780238623928264,0.8461483511039112,0.9092286740126284
unet_model_57_0_metrics,378458.0,326696002.0,25753.0,55499.0,0.8232537904330991,0.8721094486320073,0.9362882257039021
unet_model_43_0_metrics,384569.0,326685969.0,35786.0,49388.0,0.8186795758531793,0.8861914890184972,0.9148671955846843
unet_model_08_0_metrics,302055.0,326699753.0,22002.0,131902.0,0.6624608791579945,0.6960482259763064,0.932104537164758
unet_model_25_0_metrics,371042.0,326689407.0,32348.0,62915.0,0.7957066726713202,0.8550201978537044,0.9198096135253725
unet_model_24_0_metrics,393047.0,326677853.0,43902.0,40910.0,0.8225166837916624,0.9057279868742756,0.8995260316421367
unet_model_18_0_metrics,377549.0,326675819.0,45936.0,56408.0,0.7867357931872313,0.8700147710487445,0.8915286255711536
unet_model_52_0_metrics,379163.0,326691269.0,30486.0,54794.0,0.8163822040594864,0.8737340335563201,0.9255801918227555
unet_model_07_0_metrics,391842.0,326625968.0,95787.0,42115.0,0.7396818085716874,0.9029512140603793,0.8035658256584411
unet_model_11_0_metrics,306680.0,326704604.0,17151.0,127277.0,0.6798372008476906,0.7067059639549541,0.9470371891511313
unet_model_34_0_metrics,366945.0,326690834.0,30921.0,67012.0,0.7893361268978097,0.8455791702864569,0.9222828791603203
unet_model_29_0_metrics,378857.0,326689204.0,32551.0,55100.0,0.8121125468373532,0.873028894567895,0.9208790300626143
unet_model_58_0_metrics,345186.0,326683420.0,38335.0,88771.0,0.7308741202476434,0.7954382577075609,0.9000445868674727
unet_model_45_0_metrics,369659.0,326692730.0,29025.0,64298.0,0.7984306085333771,0.8518332461511163,0.92719798135867
unet_model_62_0_metrics,374685.0,326693637.0,28118.0,59272.0,0.8108748579776011,0.86341503881721,0.9301941643930159
unet_model_22_0_metrics,355431.0,326695526.0,26229.0,78526.0,0.77236378333978,0.8190465875651274,0.9312765288476654
unet_model_28_0_metrics,381601.0,326688413.0,33342.0,52356.0,0.8166099221269466,0.8793521017059294,0.9196467948609809
unet_model_15_0_metrics,336123.0,326689300.0,32455.0,97834.0,0.7206568441635293,0.7745537000209698,0.911945368415912
unet_model_16_0_metrics,370755.0,326672915.0,48840.0,63202.0,0.7679314494497688,0.8543588420050835,0.8836020448289422
unet_model_42_0_metrics,364180.0,326699605.0,22150.0,69777.0,0.7984529945824116,0.83920757125706,0.9426655967696012
unet_model_30_0_metrics,382889.0,326688178.0,33577.0,51068.0,0.8189543434274299,0.8823201377094966,0.9193763716605917
unet_model_46_0_metrics,378506.0,326692179.0,29576.0,55451.0,0.8165675367233832,0.8722200586694073,0.9275243701020873
unet_model_13_0_metrics,361873.0,326692042.0,29713.0,72084.0,0.7804537710009274,0.8338913763345216,0.9241213935125362
unet_model_40_0_metrics,381816.0,326689154.0,32601.0,52141.0,0.8183677056228807,0.8798475424984503,0.9213328603797624
unet_model_35_0_metrics,368693.0,326695911.0,25844.0,65264.0,0.8018534104971499,0.849607219148441,0.9344953705229168
unet_model_49_0_metrics,385472.0,326686387.0,35368.0,48485.0,0.8213327651414265,0.8882723403470851,0.9159585590723315
unet_model_06_0_metrics,386128.0,326602757.0,118998.0,47829.0,0.6982991382662243,0.8897840108582187,0.7644191746217776
unet_model_27_0_metrics,373643.0,326694155.0,27600.0,60314.0,0.809527317319421,0.8610138792553179,0.9312137532617392
unet_model_38_0_metrics,380430.0,326687117.0,34638.0,53527.0,0.8118524525443079,0.8766536776685248,0.9165486137211252
unet_model_50_0_metrics,381781.0,326692184.0,29571.0,52176.0,0.8236417217514368,0.8797668893461794,0.9281126626344347
unet_model_44_0_metrics,370223.0,326692149.0,29606.0,63734.0,0.7986465701533556,0.8531329140905666,0.925953345055011
unet_model_02_0_metrics,381241.0,326162346.0,559409.0,52716.0,0.38378704324488655,0.8785225264254293,0.40529527454419817
unet_model_01_0_metrics,5146.0,326720352.0,1403.0,428811.0,0.011820102903344358,0.011858317759593692,0.7857688196671248
unet_model_26_0_metrics,393471.0,326676995.0,44760.0,40486.0,0.8219281955727497,0.9067050422046424,0.8978620864338671
unet_model_54_0_metrics,375691.0,326689480.0,32275.0,58266.0,0.8058026905060142,0.8657332408510521,0.9208880151777354
unet_model_60_0_metrics,374617.0,326691082.0,30673.0,59340.0,0.8062695047672341,0.8632583412642266,0.9243183893014878
