model,sampling,epoch,iou,acc,precision,recall
ae,even,01,0.43240737218204395,0.9923835966244996,0.5393138276446888,0.7168572024858547
ae,even,02,0.4523912359620931,0.9913822149769388,0.5494536776433644,0.7586219390594564
ae,even,03,0.547864251019025,0.9956652555336019,0.736960882125318,0.6966462990446154
ae,even,04,0.45037086277807303,0.9923201128963985,0.5565125461790493,0.7130284180502736
ae,even,05,0.5025739378388148,0.9934431049875233,0.6382341443597899,0.7327027873110101
ae,even,06,0.5473644504209508,0.9947818532976804,0.6555215697852351,0.790451082923662
ae,even,07,0.5800905194335761,0.9961225756982779,0.7558527331023278,0.7176470758742232
ae,even,08,0.5756403964787979,0.9960252735355809,0.7374520786603215,0.726764098877655
ae,even,09,0.5247904485207529,0.9945310985047398,0.663879055137685,0.7402991953436601
ae,even,10,0.5115333660815292,0.9934754951730792,0.6208125498084741,0.7825987269270012
ae,uneven,01,0.4863039908301219,0.9930455641648432,0.5657998466049399,0.8045908310917355
ae,uneven,02,0.5381601622417158,0.994426491128675,0.633052977577227,0.7992947662554494
ae,uneven,03,0.5577519170923696,0.9948061141140778,0.6230351324610652,0.8440972544290883
ae,uneven,04,0.5416015979946703,0.9944645015389277,0.5999818437386156,0.8500344935534736
ae,uneven,05,0.43585947503733385,0.9893326042503137,0.46995655623033156,0.8765904716631109
ae,uneven,06,0.5014965776391728,0.9929318975475108,0.5486608736671708,0.8545137278545589
ae,uneven,07,0.5462441448103366,0.994549805978193,0.6199761475394372,0.8405276064372507
ae,uneven,08,0.5314317783513518,0.9942662661816086,0.6142013305292036,0.8302972242834616
ae,uneven,09,0.47171580884590714,0.9922468752197927,0.514253073006726,0.8612040279194881
ae,uneven,10,0.5269925313983883,0.9937120990816488,0.5856634004392021,0.8558178160653
sup,even,01,0.29776355720897696,0.9842485856666794,0.3781396179474031,0.6874852170485113
sup,even,02,0.3359743824910491,0.9845729147024646,0.5293884163077267,0.6273446920508301
sup,even,03,0.4631113373538976,0.9926405757353866,0.6678507705422045,0.6756374060847788
sup,even,04,0.4304332720050493,0.9898129727299361,0.502500809204778,0.833864553380948
sup,even,05,0.33427185883581967,0.9914278499069912,0.597262072597864,0.5433166566181244
sup,even,06,0.37598083304018287,0.9911238874436197,0.6368649982399485,0.5937340576013357
sup,even,07,0.422335266409963,0.9873649560327987,0.6480065608932428,0.6452407592060107
sup,even,08,0.4718318312800179,0.9812612625635214,0.5371023480489427,0.8489767878675449
sup,even,09,0.27964292318831785,0.9614152308305031,0.45112326029467165,0.6441700097393562
sup,even,10,0.4171678974544039,0.9887993776113548,0.4822553980003773,0.764435697059642
sup,uneven,01,0.29032212202380026,0.971718291468952,0.33015615444429985,0.8037774788980615
sup,uneven,02,0.3086996620335768,0.9820973858727615,0.34646290056175555,0.7899000556534644
sup,uneven,03,0.4192904884473421,0.9861391645304061,0.5134110713350943,0.7841016603283554
sup,uneven,04,0.32955086144995255,0.9739716348014669,0.40173901434290593,0.8052743252017438
sup,uneven,05,0.3988064591109518,0.9873151032373789,0.43847584567390674,0.8405316645023653
sup,uneven,06,0.36290981451990134,0.9503106290638754,0.4944738266863796,0.7039395116408496
sup,uneven,07,0.3034707392363606,0.9670488210904488,0.350764056411507,0.7618220132640757
sup,uneven,08,0.3845964880498668,0.9733857916404715,0.4969040767103987,0.779810836193303
sup,uneven,09,0.35013716211385515,0.9765398099608935,0.4031403139932874,0.7293166218347091
sup,uneven,10,0.2658264067096161,0.9774924218659317,0.34721631230310035,0.7411029820981356
