model,sampling,epoch,iou,acc,precision,recall
ae,even,01,0.10344438940370868,0.0032562186023056953,0.15686340466883567,0.10861398330079444
ae,even,02,0.141900877846236,0.006411128872352443,0.21110311947604501,0.06505906367946265
ae,even,03,0.07531926698460177,0.001168501994933957,0.11402862953559385,0.10914421424181649
ae,even,04,0.15437652756649867,0.004448694401583701,0.2142590369070217,0.10453472103063606
ae,even,05,0.13577449919484724,0.004946647296879356,0.20867629730963755,0.08082098835970256
ae,even,06,0.08922862448104238,0.0024895275903603535,0.14424543237567097,0.07969440956092295
ae,even,07,0.0617439966168924,0.0006642417720766341,0.06273949118718833,0.08244912567752732
ae,even,08,0.08064094854818475,0.0007094031863090785,0.04398646902505514,0.11136625539409042
ae,even,09,0.11940625093782518,0.0033267219079509656,0.1494982878175269,0.13970358898438986
ae,even,10,0.12420959617944699,0.004481109056370303,0.19359521498012233,0.07977865914174732
ae,uneven,01,0.10093260194439779,0.003317815444428131,0.151059185318736,0.07746619537804439
ae,uneven,02,0.1031600896655139,0.0026223072666167737,0.15245503212700898,0.044902618428933554
ae,uneven,03,0.08196461632422468,0.0017168359141074773,0.09665020326689829,0.037466537312071876
ae,uneven,04,0.07477621276413221,0.0016331563034888887,0.08484017632213725,0.04981621706214007
ae,uneven,05,0.1374367621785856,0.008088886844226184,0.15850221338825152,0.043528033702745585
ae,uneven,06,0.11238040534691239,0.003986930237144607,0.1285554490844257,0.03519970894203552
ae,uneven,07,0.07494987507428419,0.0019628739687242488,0.11359120152103715,0.07225359437280086
ae,uneven,08,0.07995516505783161,0.0022771566473041476,0.1377987310018136,0.09907769283471056
ae,uneven,09,0.09793564088584505,0.0030539110059338574,0.11985584863253104,0.03750469702516394
ae,uneven,10,0.10477236906589012,0.003194639550344279,0.1319124666379399,0.060270431311855936
sup,even,01,0.19358953135639168,0.014702278880197202,0.23810383911322855,0.3333187772314594
sup,even,02,0.18943444331738937,0.02003099605477364,0.30899645289887956,0.24010275909808343
sup,even,03,0.12266449010720336,0.0077767503560178825,0.2112653182029431,0.18183885516143708
sup,even,04,0.14563368151501413,0.00698300373090045,0.21126553734539558,0.14021137143887205
sup,even,05,0.20409176281116195,0.007653905646059264,0.3210886086680963,0.36242905258199354
sup,even,06,0.17384498833312167,0.009614495213027647,0.23152965465552122,0.2903418573513614
sup,even,07,0.19073089118544825,0.0234370180381776,0.2562906034214894,0.24955561760313158
sup,even,08,0.16773721524544452,0.03972621086508048,0.21078539283127157,0.09422930237784129
sup,even,09,0.2677938193317701,0.06222254512550525,0.38077626948626847,0.3695571886803235
sup,even,10,0.21427608903308906,0.00961695770295791,0.26648531753287763,0.2930553665254891
sup,uneven,01,0.16423150511746007,0.03959838779630057,0.1919894798442718,0.214051165455803
sup,uneven,02,0.1443177717441088,0.01303586610853428,0.17228222777930358,0.1379975229023427
sup,uneven,03,0.19682335307135196,0.02183749471078118,0.19399369773963038,0.24015705088986386
sup,uneven,04,0.20269005944997434,0.029016081882369125,0.26214574467655516,0.18439976272054173
sup,uneven,05,0.15174641918368992,0.010970095269729372,0.1721823369593778,0.10357088918047383
sup,uneven,06,0.19487337115659736,0.12964069178033405,0.25516575634976046,0.2440049201562146
sup,uneven,07,0.2035014376394418,0.045326973818059724,0.26569440338845823,0.2724305435594968
sup,uneven,08,0.2168212105141903,0.05479413579956459,0.24142789077731414,0.25852221388401986
sup,uneven,09,0.18758818073488187,0.0438205278148651,0.21350847096873557,0.24511902169929398
sup,uneven,10,0.12231533812748467,0.022103398145670968,0.23175493162163263,0.20612828466247307
